File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/472.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 1
Injection Number	241
Position	RA2
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	6:10:21 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.856156
Signal Max.	120.486780
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000104
0.006667	0.2	0.000724
0.010000	0.2	0.002452
0.013333	0.2	0.005609
0.016667	0.2	0.010129
0.020000	0.2	0.015797
0.023333	0.2	0.022346
0.026667	0.2	0.029376
0.030000	0.2	0.036369
0.033333	0.2	0.042706
0.036667	0.2	0.047512
0.040000	0.2	0.049882
0.043333	0.2	0.049508
0.046667	0.2	0.046802
0.050000	0.2	0.042514
0.053333	0.2	0.037599
0.056667	0.2	0.033074
0.060000	0.2	0.029644
0.063333	0.2	0.027487
0.066667	0.2	0.026198
0.070000	0.2	0.024951
0.073333	0.2	0.023245
0.076667	0.2	0.021371
0.080000	0.2	0.019886
0.083333	0.2	0.019124
0.086667	0.2	0.019255
0.090000	0.2	0.020293
0.093333	0.2	0.021882
0.096667	0.2	0.023140
0.100000	0.2	0.023075
0.103333	0.2	0.021363
0.106667	0.2	0.018497
0.110000	0.2	0.015281
0.113333	0.2	0.012432
0.116667	0.2	0.010494
0.120000	0.2	0.009835
0.123333	0.2	0.010448
0.126667	0.2	0.011673
0.130000	0.2	0.012509
0.133333	0.2	0.012485
0.136667	0.2	0.012032
0.140000	0.2	0.012069
0.143333	0.2	0.013226
0.146667	0.2	0.015179
0.150000	0.2	0.016991
0.153333	0.2	0.018032
0.156667	0.2	0.018195
0.160000	0.2	0.017518
0.163333	0.2	0.015956
0.166667	0.2	0.013580
0.170000	0.2	0.010835
0.173333	0.2	0.008317
0.176667	0.2	0.006519
0.180000	0.2	0.005885
0.183333	0.2	0.006467
0.186667	0.2	0.007652
0.190000	0.2	0.008639
0.193333	0.2	0.008925
0.196667	0.2	0.008551
0.200000	0.2	0.008077
0.203333	0.2	0.008060
0.206667	0.2	0.008692
0.210000	0.2	0.009963
0.213333	0.2	0.011658
0.216667	0.2	0.013085
0.220000	0.2	0.013590
0.223333	0.2	0.013514
0.226667	0.2	0.013660
0.230000	0.2	0.014093
0.233333	0.2	0.014274
0.236667	0.2	0.013873
0.240000	0.2	0.013070
0.243333	0.2	0.012474
0.246667	0.2	0.012619
0.250000	0.2	0.013216
0.253333	0.2	0.013451
0.256667	0.2	0.013167
0.260000	0.2	0.013023
0.263333	0.2	0.013583
0.266667	0.2	0.014699
0.270000	0.2	0.015651
0.273333	0.2	0.015778
0.276667	0.2	0.015062
0.280000	0.2	0.014202
0.283333	0.2	0.014137
0.286667	0.2	0.015331
0.290000	0.2	0.017265
0.293333	0.2	0.018730
0.296667	0.2	0.019015
0.300000	0.2	0.018565
0.303333	0.2	0.018127
0.306667	0.2	0.017827
0.310000	0.2	0.017207
0.313333	0.2	0.015772
0.316667	0.2	0.013686
0.320000	0.2	0.011877
0.323333	0.2	0.011231
0.326667	0.2	0.011908
0.330000	0.2	0.013558
0.333333	0.2	0.015913
0.336667	0.2	0.018722
0.340000	0.2	0.021271
0.343333	0.2	0.022656
0.346667	0.2	0.022507
0.350000	0.2	0.021100
0.353333	0.2	0.018891
0.356667	0.2	0.016196
0.360000	0.2	0.013324
0.363333	0.2	0.010611
0.366667	0.2	0.008273
0.370000	0.2	0.006544
0.373333	0.2	0.005799
0.376667	0.2	0.006298
0.380000	0.2	0.007875
0.383333	0.2	0.010006
0.386667	0.2	0.012303
0.390000	0.2	0.014771
0.393333	0.2	0.017416
0.396667	0.2	0.019797
0.400000	0.2	0.021250
0.403333	0.2	0.021611
0.406667	0.2	0.021319
0.410000	0.2	0.020627
0.413333	0.2	0.019354
0.416667	0.2	0.017513
0.420000	0.2	0.015737
0.423333	0.2	0.015207
0.426667	0.2	0.016861
0.430000	0.2	0.020147
0.433333	0.2	0.023110
0.436667	0.2	0.024205
0.440000	0.2	0.023565
0.443333	0.2	0.022354
0.446667	0.2	0.021398
0.450000	0.2	0.020711
0.453333	0.2	0.019867
0.456667	0.2	0.018462
0.460000	0.2	0.016629
0.463333	0.2	0.015036
0.466667	0.2	0.014075
0.470000	0.2	0.013546
0.473333	0.2	0.013336
0.476667	0.2	0.013762
0.480000	0.2	0.014850
0.483333	0.2	0.015864
0.486667	0.2	0.016145
0.490000	0.2	0.016003
0.493333	0.2	0.016187
0.496667	0.2	0.016794
0.500000	0.2	0.017313
0.503333	0.2	0.017484
0.506667	0.2	0.017585
0.510000	0.2	0.018122
0.513333	0.2	0.019396
0.516667	0.2	0.021158
0.520000	0.2	0.022785
0.523333	0.2	0.023903
0.526667	0.2	0.024469
0.530000	0.2	0.024299
0.533333	0.2	0.023156
0.536667	0.2	0.021512
0.540000	0.2	0.020622
0.543333	0.2	0.021387
0.546667	0.2	0.023463
0.550000	0.2	0.025651
0.553333	0.2	0.026840
0.556667	0.2	0.026686
0.560000	0.2	0.025579
0.563333	0.2	0.024101
0.566667	0.2	0.022775
0.570000	0.2	0.021913
0.573333	0.2	0.021399
0.576667	0.2	0.021172
0.580000	0.2	0.021452
0.583333	0.2	0.022029
0.586667	0.2	0.022215
0.590000	0.2	0.021699
0.593333	0.2	0.020989
0.596667	0.2	0.021047
0.600000	0.2	0.022249
0.603333	0.2	0.023718
0.606667	0.2	0.024449
0.610000	0.2	0.024626
0.613333	0.2	0.024971
0.616667	0.2	0.025688
