File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/376.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 8
Injection Number	248
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	10:01:44 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.785176
Signal Max.	55.276324
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
18.113333	0.2	0.129272
18.116667	0.2	0.128422
18.120000	0.2	0.127705
18.123333	0.2	0.126916
18.126667	0.2	0.125914
18.130000	0.2	0.125085
18.133333	0.2	0.125288
18.136667	0.2	0.126919
18.140000	0.2	0.129413
18.143333	0.2	0.131955
18.146667	0.2	0.134315
18.150000	0.2	0.136677
18.153333	0.2	0.138948
18.156667	0.2	0.140553
18.160000	0.2	0.140731
18.163333	0.2	0.139137
18.166667	0.2	0.136501
18.170000	0.2	0.134179
18.173333	0.2	0.132800
18.176667	0.2	0.131909
18.180000	0.2	0.130865
18.183333	0.2	0.129505
18.186667	0.2	0.127983
18.190000	0.2	0.126238
18.193333	0.2	0.124134
18.196667	0.2	0.122222
18.200000	0.2	0.121537
18.203333	0.2	0.122564
18.206667	0.2	0.124788
18.210000	0.2	0.126982
18.213333	0.2	0.127961
18.216667	0.2	0.127328
18.220000	0.2	0.125680
18.223333	0.2	0.124225
18.226667	0.2	0.123812
18.230000	0.2	0.124190
18.233333	0.2	0.124389
18.236667	0.2	0.123705
18.240000	0.2	0.122261
18.243333	0.2	0.120802
18.246667	0.2	0.120124
18.250000	0.2	0.120699
18.253333	0.2	0.122535
18.256667	0.2	0.125167
18.260000	0.2	0.127756
18.263333	0.2	0.129317
18.266667	0.2	0.129117
18.270000	0.2	0.127186
18.273333	0.2	0.124403
18.276667	0.2	0.121788
18.280000	0.2	0.119767
18.283333	0.2	0.118306
18.286667	0.2	0.117559
18.290000	0.2	0.117969
18.293333	0.2	0.119674
18.296667	0.2	0.122140
18.300000	0.2	0.124627
18.303333	0.2	0.126566
18.306667	0.2	0.127334
18.310000	0.2	0.126562
18.313333	0.2	0.124887
18.316667	0.2	0.123737
18.320000	0.2	0.124055
18.323333	0.2	0.125253
18.326667	0.2	0.125648
18.330000	0.2	0.124109
18.333333	0.2	0.121069
18.336667	0.2	0.118200
18.340000	0.2	0.117451
18.343333	0.2	0.119775
18.346667	0.2	0.124170
18.350000	0.2	0.128429
18.353333	0.2	0.131085
18.356667	0.2	0.132153
18.360000	0.2	0.132305
18.363333	0.2	0.131927
18.366667	0.2	0.130961
18.370000	0.2	0.129471
18.373333	0.2	0.127836
18.376667	0.2	0.126266
18.380000	0.2	0.124597
18.383333	0.2	0.122678
18.386667	0.2	0.120874
18.390000	0.2	0.120021
18.393333	0.2	0.120708
18.396667	0.2	0.122842
18.400000	0.2	0.125744
18.403333	0.2	0.128307
18.406667	0.2	0.129481
18.410000	0.2	0.128880
18.413333	0.2	0.126892
18.416667	0.2	0.124493
18.420000	0.2	0.122608
18.423333	0.2	0.121498
18.426667	0.2	0.121067
18.430000	0.2	0.121324
18.433333	0.2	0.122325
18.436667	0.2	0.124139
18.440000	0.2	0.126709
18.443333	0.2	0.129553
18.446667	0.2	0.131997
18.450000	0.2	0.133573
18.453333	0.2	0.133879
18.456667	0.2	0.132744
18.460000	0.2	0.130716
18.463333	0.2	0.128729
18.466667	0.2	0.127322
18.470000	0.2	0.126288
18.473333	0.2	0.124958
18.476667	0.2	0.122788
18.480000	0.2	0.119653
18.483333	0.2	0.115983
18.486667	0.2	0.112693
18.490000	0.2	0.110614
18.493333	0.2	0.110170
18.496667	0.2	0.111297
18.500000	0.2	0.113354
18.503333	0.2	0.115702
18.506667	0.2	0.118117
18.510000	0.2	0.120102
18.513333	0.2	0.120753
18.516667	0.2	0.119885
18.520000	0.2	0.118427
18.523333	0.2	0.117419
18.526667	0.2	0.117319
18.530000	0.2	0.118172
18.533333	0.2	0.119777
18.536667	0.2	0.121685
18.540000	0.2	0.123193
18.543333	0.2	0.123611
18.546667	0.2	0.122883
18.550000	0.2	0.121735
18.553333	0.2	0.120860
18.556667	0.2	0.120312
18.560000	0.2	0.119823
18.563333	0.2	0.119293
18.566667	0.2	0.118871
18.570000	0.2	0.118901
18.573333	0.2	0.119897
18.576667	0.2	0.122048
18.580000	0.2	0.124752
18.583333	0.2	0.127178
18.586667	0.2	0.129041
18.590000	0.2	0.130371
18.593333	0.2	0.130938
18.596667	0.2	0.130386
18.600000	0.2	0.128804
18.603333	0.2	0.126746
18.606667	0.2	0.124687
18.610000	0.2	0.122779
18.613333	0.2	0.121166
18.616667	0.2	0.120079
18.620000	0.2	0.119564
18.623333	0.2	0.119406
18.626667	0.2	0.119354
18.630000	0.2	0.119522
18.633333	0.2	0.120282
18.636667	0.2	0.121463
18.640000	0.2	0.122210
18.643333	0.2	0.121903
18.646667	0.2	0.120720
18.650000	0.2	0.119475
18.653333	0.2	0.119084
18.656667	0.2	0.119801
18.660000	0.2	0.121072
18.663333	0.2	0.122268
18.666667	0.2	0.123206
18.670000	0.2	0.123912
18.673333	0.2	0.124195
18.676667	0.2	0.123803
18.680000	0.2	0.122852
18.683333	0.2	0.121710
18.686667	0.2	0.120731
18.690000	0.2	0.120354
18.693333	0.2	0.120982
18.696667	0.2	0.122668
18.700000	0.2	0.125168
18.703333	0.2	0.127995
18.706667	0.2	0.130430
18.710000	0.2	0.131723
18.713333	0.2	0.131167
18.716667	0.2	0.128254
18.720000	0.2	0.123275
18.723333	0.2	0.117731
18.726667	0.2	0.113807
18.730000	0.2	0.113082
18.733333	0.2	0.115486
18.736667	0.2	0.119336
18.740000	0.2	0.122602
18.743333	0.2	0.124152
18.746667	0.2	0.123913
18.750000	0.2	0.122502
18.753333	0.2	0.120901
18.756667	0.2	0.119869
18.760000	0.2	0.119562
18.763333	0.2	0.119842
18.766667	0.2	0.120497
18.770000	0.2	0.121077
18.773333	0.2	0.121159
18.776667	0.2	0.120769
18.780000	0.2	0.120183
18.783333	0.2	0.119635
18.786667	0.2	0.119419
18.790000	0.2	0.119791
18.793333	0.2	0.120722
18.796667	0.2	0.122068
18.800000	0.2	0.123675
18.803333	0.2	0.125130
18.806667	0.2	0.125726
18.810000	0.2	0.124834
18.813333	0.2	0.122470
18.816667	0.2	0.119654
18.820000	0.2	0.117829
18.823333	0.2	0.117684
18.826667	0.2	0.118826
18.830000	0.2	0.120481
18.833333	0.2	0.122110
18.836667	0.2	0.123497
18.840000	0.2	0.124527
18.843333	0.2	0.125075
18.846667	0.2	0.125175
18.850000	0.2	0.124962
18.853333	0.2	0.124456
18.856667	0.2	0.123744
18.860000	0.2	0.122988
18.863333	0.2	0.122096
18.866667	0.2	0.120993
18.870000	0.2	0.120055
18.873333	0.2	0.119711
18.876667	0.2	0.119936
18.880000	0.2	0.120484
18.883333	0.2	0.121182
18.886667	0.2	0.121876
18.890000	0.2	0.122532
18.893333	0.2	0.123406
18.896667	0.2	0.124791
18.900000	0.2	0.126529
18.903333	0.2	0.127938
18.906667	0.2	0.128313
18.910000	0.2	0.127339
18.913333	0.2	0.125209
18.916667	0.2	0.122689
18.920000	0.2	0.120818
18.923333	0.2	0.120428
18.926667	0.2	0.121921
18.930000	0.2	0.125034
18.933333	0.2	0.128895
18.936667	0.2	0.132403
18.940000	0.2	0.134673
18.943333	0.2	0.135386
18.946667	0.2	0.134805
18.950000	0.2	0.133585
18.953333	0.2	0.132291
18.956667	0.2	0.130864
18.960000	0.2	0.129019
18.963333	0.2	0.126896
18.966667	0.2	0.124794
18.970000	0.2	0.122799
18.973333	0.2	0.120935
18.976667	0.2	0.119349
18.980000	0.2	0.118400
18.983333	0.2	0.118518
18.986667	0.2	0.119894
18.990000	0.2	0.122236
18.993333	0.2	0.124789
18.996667	0.2	0.126880
19.000000	0.2	0.128402
19.003333	0.2	0.129594
19.006667	0.2	0.130548
19.010000	0.2	0.131036
19.013333	0.2	0.130860
19.016667	0.2	0.130384
19.020000	0.2	0.130377
19.023333	0.2	0.131217
19.026667	0.2	0.132612
19.030000	0.2	0.134061
19.033333	0.2	0.135139
19.036667	0.2	0.135488
19.040000	0.2	0.134959
19.043333	0.2	0.133740
19.046667	0.2	0.132174
19.050000	0.2	0.130469
19.053333	0.2	0.128727
19.056667	0.2	0.127171
19.060000	0.2	0.126003
19.063333	0.2	0.125140
19.066667	0.2	0.124486
19.070000	0.2	0.124386
19.073333	0.2	0.125335
19.076667	0.2	0.127257
19.080000	0.2	0.129482
19.083333	0.2	0.131155
