File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/219.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 9
Injection Number	249
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	10:34:48 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.657786
Signal Max.	5.092647
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000048
0.006667	0.2	0.000311
0.010000	0.2	0.001074
0.013333	0.2	0.002775
0.016667	0.2	0.005847
0.020000	0.2	0.010257
0.023333	0.2	0.015675
0.026667	0.2	0.021926
0.030000	0.2	0.028550
0.033333	0.2	0.034402
0.036667	0.2	0.038377
0.040000	0.2	0.040205
0.043333	0.2	0.040170
0.046667	0.2	0.038499
0.050000	0.2	0.035305
0.053333	0.2	0.030926
0.056667	0.2	0.026146
0.060000	0.2	0.021798
0.063333	0.2	0.018247
0.066667	0.2	0.015668
0.070000	0.2	0.014177
0.073333	0.2	0.013454
0.076667	0.2	0.013096
0.080000	0.2	0.013042
0.083333	0.2	0.012967
0.086667	0.2	0.012087
0.090000	0.2	0.010191
0.093333	0.2	0.008137
0.096667	0.2	0.006902
0.100000	0.2	0.006586
0.103333	0.2	0.006573
0.106667	0.2	0.006274
0.110000	0.2	0.005272
0.113333	0.2	0.003214
0.116667	0.2	0.000208
0.120000	0.2	-0.002847
0.123333	0.2	-0.004753
0.126667	0.2	-0.005039
0.130000	0.2	-0.004271
0.133333	0.2	-0.003121
0.136667	0.2	-0.001711
0.140000	0.2	0.000016
0.143333	0.2	0.001864
0.146667	0.2	0.003337
0.150000	0.2	0.003964
0.153333	0.2	0.003853
0.156667	0.2	0.003414
0.160000	0.2	0.002488
0.163333	0.2	0.000708
0.166667	0.2	-0.001688
0.170000	0.2	-0.004236
0.173333	0.2	-0.006629
0.176667	0.2	-0.008298
0.180000	0.2	-0.008569
0.183333	0.2	-0.007335
0.186667	0.2	-0.005106
0.190000	0.2	-0.002487
0.193333	0.2	0.000132
0.196667	0.2	0.002434
0.200000	0.2	0.004268
0.203333	0.2	0.005993
0.206667	0.2	0.008112
0.210000	0.2	0.010589
0.213333	0.2	0.012759
0.216667	0.2	0.013552
0.220000	0.2	0.012043
0.223333	0.2	0.008441
0.226667	0.2	0.004224
0.230000	0.2	0.001151
0.233333	0.2	0.000225
0.236667	0.2	0.001240
0.240000	0.2	0.003170
0.243333	0.2	0.004982
0.246667	0.2	0.006040
0.250000	0.2	0.006066
0.253333	0.2	0.004957
0.256667	0.2	0.002870
0.260000	0.2	0.000462
0.263333	0.2	-0.001238
0.266667	0.2	-0.001417
0.270000	0.2	-0.000229
0.273333	0.2	0.001174
0.276667	0.2	0.001646
0.280000	0.2	0.000934
0.283333	0.2	-0.000238
0.286667	0.2	-0.000716
0.290000	0.2	0.000344
0.293333	0.2	0.002967
0.296667	0.2	0.006238
0.300000	0.2	0.008786
0.303333	0.2	0.009825
0.306667	0.2	0.009411
0.310000	0.2	0.007604
0.313333	0.2	0.004409
0.316667	0.2	0.000651
0.320000	0.2	-0.002422
0.323333	0.2	-0.004280
0.326667	0.2	-0.005086
0.330000	0.2	-0.005172
