File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/180.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 5
Injection Number	245
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	8:22:34 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.752598
Signal Max.	4.617714
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.526667	0.2	0.007114
0.530000	0.2	0.008996
0.533333	0.2	0.010779
0.536667	0.2	0.011550
0.540000	0.2	0.011374
0.543333	0.2	0.011168
0.546667	0.2	0.011433
0.550000	0.2	0.011557
0.553333	0.2	0.010730
0.556667	0.2	0.009142
0.560000	0.2	0.007790
0.563333	0.2	0.007421
0.566667	0.2	0.008195
0.570000	0.2	0.010074
0.573333	0.2	0.012833
0.576667	0.2	0.015690
0.580000	0.2	0.017618
0.583333	0.2	0.018151
0.586667	0.2	0.017500
0.590000	0.2	0.016070
0.593333	0.2	0.014229
0.596667	0.2	0.012486
0.600000	0.2	0.011428
0.603333	0.2	0.011140
0.606667	0.2	0.011000
0.610000	0.2	0.010444
0.613333	0.2	0.009721
0.616667	0.2	0.009464
0.620000	0.2	0.009882
0.623333	0.2	0.010888
0.626667	0.2	0.012408
0.630000	0.2	0.014212
0.633333	0.2	0.015931
0.636667	0.2	0.017095
0.640000	0.2	0.017169
0.643333	0.2	0.015908
0.646667	0.2	0.013447
0.650000	0.2	0.010259
0.653333	0.2	0.007212
0.656667	0.2	0.005095
0.660000	0.2	0.004154
0.663333	0.2	0.004329
0.666667	0.2	0.005361
0.670000	0.2	0.006629
0.673333	0.2	0.007469
0.676667	0.2	0.007726
0.680000	0.2	0.007676
0.683333	0.2	0.007506
0.686667	0.2	0.007186
0.690000	0.2	0.006947
0.693333	0.2	0.007571
0.696667	0.2	0.009839
0.700000	0.2	0.013762
0.703333	0.2	0.018489
0.706667	0.2	0.022741
0.710000	0.2	0.025382
0.713333	0.2	0.025891
0.716667	0.2	0.024497
0.720000	0.2	0.022087
0.723333	0.2	0.019767
0.726667	0.2	0.018095
0.730000	0.2	0.016920
0.733333	0.2	0.015994
0.736667	0.2	0.015332
0.740000	0.2	0.015037
0.743333	0.2	0.014914
0.746667	0.2	0.014421
0.750000	0.2	0.013478
0.753333	0.2	0.012781
0.756667	0.2	0.012740
0.760000	0.2	0.013141
0.763333	0.2	0.013781
0.766667	0.2	0.014372
0.770000	0.2	0.014491
0.773333	0.2	0.014014
0.776667	0.2	0.013350
0.780000	0.2	0.013289
0.783333	0.2	0.014433
0.786667	0.2	0.016840
0.790000	0.2	0.020036
0.793333	0.2	0.022857
0.796667	0.2	0.024033
0.800000	0.2	0.023438
0.803333	0.2	0.022095
0.806667	0.2	0.020966
0.810000	0.2	0.020342
0.813333	0.2	0.020257
0.816667	0.2	0.020608
0.820000	0.2	0.020861
0.823333	0.2	0.020560
0.826667	0.2	0.019999
0.830000	0.2	0.019774
0.833333	0.2	0.019893
0.836667	0.2	0.019768
0.840000	0.2	0.019122
0.843333	0.2	0.018373
0.846667	0.2	0.017892
0.850000	0.2	0.017572
0.853333	0.2	0.017283
0.856667	0.2	0.017084
0.860000	0.2	0.016933
0.863333	0.2	0.016765
0.866667	0.2	0.016818
0.870000	0.2	0.017529
0.873333	0.2	0.019025
0.876667	0.2	0.020878
0.880000	0.2	0.022459
0.883333	0.2	0.023325
0.886667	0.2	0.023286
0.890000	0.2	0.022255
0.893333	0.2	0.020310
0.896667	0.2	0.018172
0.900000	0.2	0.017080
0.903333	0.2	0.017587
0.906667	0.2	0.018999
0.910000	0.2	0.020222
0.913333	0.2	0.020571
0.916667	0.2	0.019828
0.920000	0.2	0.018221
0.923333	0.2	0.016379
0.926667	0.2	0.014928
0.930000	0.2	0.014259
0.933333	0.2	0.014604
0.936667	0.2	0.015859
0.940000	0.2	0.017580
0.943333	0.2	0.019284
0.946667	0.2	0.020691
0.950000	0.2	0.021922
0.953333	0.2	0.023372
0.956667	0.2	0.025179
0.960000	0.2	0.026882
0.963333	0.2	0.027921
0.966667	0.2	0.028318
0.970000	0.2	0.028481
0.973333	0.2	0.028736
0.976667	0.2	0.029054
0.980000	0.2	0.029094
0.983333	0.2	0.028732
0.986667	0.2	0.028145
0.990000	0.2	0.027386
0.993333	0.2	0.026479
0.996667	0.2	0.025762
1.000000	0.2	0.025728
1.003333	0.2	0.026627
1.006667	0.2	0.028343
1.010000	0.2	0.030400
1.013333	0.2	0.032063
1.016667	0.2	0.032648
1.020000	0.2	0.031937
1.023333	0.2	0.030314
1.026667	0.2	0.028472
1.030000	0.2	0.027002
1.033333	0.2	0.026194
1.036667	0.2	0.025987
1.040000	0.2	0.026039
1.043333	0.2	0.026262
1.046667	0.2	0.027092
1.050000	0.2	0.028545
1.053333	0.2	0.029682
1.056667	0.2	0.029732
1.060000	0.2	0.029047
1.063333	0.2	0.028504
1.066667	0.2	0.028491
1.070000	0.2	0.028781
1.073333	0.2	0.029138
1.076667	0.2	0.029562
1.080000	0.2	0.029915
1.083333	0.2	0.029619
1.086667	0.2	0.028045
1.090000	0.2	0.025515
1.093333	0.2	0.023314
1.096667	0.2	0.022359
1.100000	0.2	0.022465
1.103333	0.2	0.022839
1.106667	0.2	0.023024
1.110000	0.2	0.023418
1.113333	0.2	0.024725
1.116667	0.2	0.027135
1.120000	0.2	0.030291
1.123333	0.2	0.033671
1.126667	0.2	0.036831
1.130000	0.2	0.039392
1.133333	0.2	0.041021
1.136667	0.2	0.041684
1.140000	0.2	0.041677
1.143333	0.2	0.041356
1.146667	0.2	0.041074
1.150000	0.2	0.041024
1.153333	0.2	0.040864
1.156667	0.2	0.040095
1.160000	0.2	0.038891
1.163333	0.2	0.037974
1.166667	0.2	0.037795
1.170000	0.2	0.038237
1.173333	0.2	0.038825
1.176667	0.2	0.039214
1.180000	0.2	0.039661
1.183333	0.2	0.040789
1.186667	0.2	0.042745
1.190000	0.2	0.044796
1.193333	0.2	0.045941
1.196667	0.2	0.045739
1.200000	0.2	0.044383
1.203333	0.2	0.042532
1.206667	0.2	0.041094
1.210000	0.2	0.040635
1.213333	0.2	0.041046
1.216667	0.2	0.041982
1.220000	0.2	0.043285
1.223333	0.2	0.044834
1.226667	0.2	0.046412
1.230000	0.2	0.047849
1.233333	0.2	0.048941
1.236667	0.2	0.049494
1.240000	0.2	0.049747
1.243333	0.2	0.050346
1.246667	0.2	0.051379
1.250000	0.2	0.051973
1.253333	0.2	0.051363
1.256667	0.2	0.049749
1.260000	0.2	0.047926
1.263333	0.2	0.046536
1.266667	0.2	0.045815
1.270000	0.2	0.045788
1.273333	0.2	0.046353
1.276667	0.2	0.047187
1.280000	0.2	0.047841
1.283333	0.2	0.048053
1.286667	0.2	0.047881
1.290000	0.2	0.047526
1.293333	0.2	0.047322
1.296667	0.2	0.047743
1.300000	0.2	0.048936
1.303333	0.2	0.050500
1.306667	0.2	0.052097
1.310000	0.2	0.053764
1.313333	0.2	0.055181
1.316667	0.2	0.055376
1.320000	0.2	0.053753
1.323333	0.2	0.050989
1.326667	0.2	0.048500
1.330000	0.2	0.047159
1.333333	0.2	0.046712
1.336667	0.2	0.046438
1.340000	0.2	0.046283
1.343333	0.2	0.046907
1.346667	0.2	0.048723
1.350000	0.2	0.051201
1.353333	0.2	0.052957
1.356667	0.2	0.052725
1.360000	0.2	0.050344
1.363333	0.2	0.046852
1.366667	0.2	0.044026
1.370000	0.2	0.043508
1.373333	0.2	0.045693
1.376667	0.2	0.049375
1.380000	0.2	0.052671
1.383333	0.2	0.054539
1.386667	0.2	0.055475
1.390000	0.2	0.056605
1.393333	0.2	0.058270
1.396667	0.2	0.059784
1.400000	0.2	0.060373
1.403333	0.2	0.059940
1.406667	0.2	0.058942
1.410000	0.2	0.057854
1.413333	0.2	0.056876
1.416667	0.2	0.055985
1.420000	0.2	0.055002
1.423333	0.2	0.053778
1.426667	0.2	0.052475
1.430000	0.2	0.051524
1.433333	0.2	0.051220
1.436667	0.2	0.051272
1.440000	0.2	0.051023
1.443333	0.2	0.050437
1.446667	0.2	0.050252
1.450000	0.2	0.050873
1.453333	0.2	0.051849
1.456667	0.2	0.052569
1.460000	0.2	0.052932
1.463333	0.2	0.053198
1.466667	0.2	0.053326
1.470000	0.2	0.052777
1.473333	0.2	0.051120
1.476667	0.2	0.048531
1.480000	0.2	0.045736
1.483333	0.2	0.043585
1.486667	0.2	0.042590
1.490000	0.2	0.042876
1.493333	0.2	0.044324
1.496667	0.2	0.046398
1.500000	0.2	0.048145
1.503333	0.2	0.049017
1.506667	0.2	0.049401
1.510000	0.2	0.049845
1.513333	0.2	0.050369
1.516667	0.2	0.050926
1.520000	0.2	0.051614
1.523333	0.2	0.052131
1.526667	0.2	0.052069
1.530000	0.2	0.051834
1.533333	0.2	0.052186
1.536667	0.2	0.053112
1.540000	0.2	0.054023
1.543333	0.2	0.054798
1.546667	0.2	0.055826
1.550000	0.2	0.057096
1.553333	0.2	0.058110
1.556667	0.2	0.058663
1.560000	0.2	0.058820
1.563333	0.2	0.058569
1.566667	0.2	0.058152
1.570000	0.2	0.057949
1.573333	0.2	0.057881
1.576667	0.2	0.057559
1.580000	0.2	0.056787
1.583333	0.2	0.055597
1.586667	0.2	0.054330
1.590000	0.2	0.053746
1.593333	0.2	0.054575
1.596667	0.2	0.056923
1.600000	0.2	0.060085
1.603333	0.2	0.062926
1.606667	0.2	0.064596
1.610000	0.2	0.064794
1.613333	0.2	0.063597
1.616667	0.2	0.061400
1.620000	0.2	0.058790
1.623333	0.2	0.056374
1.626667	0.2	0.054905
1.630000	0.2	0.055202
1.633333	0.2	0.057296
1.636667	0.2	0.059867
1.640000	0.2	0.061410
1.643333	0.2	0.061648
1.646667	0.2	0.061163
1.650000	0.2	0.060557
1.653333	0.2	0.060395
1.656667	0.2	0.060949
1.660000	0.2	0.061753
1.663333	0.2	0.061948
1.666667	0.2	0.060997
1.670000	0.2	0.058945
1.673333	0.2	0.056346
1.676667	0.2	0.054030
1.680000	0.2	0.052673
1.683333	0.2	0.052644
1.686667	0.2	0.054171
1.690000	0.2	0.057150
1.693333	0.2	0.060758
1.696667	0.2	0.063673
1.700000	0.2	0.064717
1.703333	0.2	0.063481
1.706667	0.2	0.060554
1.710000	0.2	0.057031
1.713333	0.2	0.054032
1.716667	0.2	0.052381
1.720000	0.2	0.052245
1.723333	0.2	0.053203
1.726667	0.2	0.054522
1.730000	0.2	0.055447
1.733333	0.2	0.055633
1.736667	0.2	0.055357
1.740000	0.2	0.055208
1.743333	0.2	0.055461
1.746667	0.2	0.055814
1.750000	0.2	0.055852
1.753333	0.2	0.055518
1.756667	0.2	0.055025
1.760000	0.2	0.054456
1.763333	0.2	0.053879
1.766667	0.2	0.053689
1.770000	0.2	0.054089
1.773333	0.2	0.054770
1.776667	0.2	0.055653
1.780000	0.2	0.057131
1.783333	0.2	0.059438
1.786667	0.2	0.062404
1.790000	0.2	0.065606
1.793333	0.2	0.068340
1.796667	0.2	0.069999
1.800000	0.2	0.070593
1.803333	0.2	0.070376
1.806667	0.2	0.069497
1.810000	0.2	0.068380
1.813333	0.2	0.067624
1.816667	0.2	0.067367
1.820000	0.2	0.067167
1.823333	0.2	0.066604
1.826667	0.2	0.065686
1.830000	0.2	0.064400
1.833333	0.2	0.062439
1.836667	0.2	0.059774
1.840000	0.2	0.056893
1.843333	0.2	0.054356
1.846667	0.2	0.052478
1.850000	0.2	0.051470
1.853333	0.2	0.051668
1.856667	0.2	0.053336
1.860000	0.2	0.056092
1.863333	0.2	0.058979
1.866667	0.2	0.061146
