File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/648.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 3
Injection Number	243
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	7:16:28 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.753354
Signal Max.	133.064286
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000010
0.006667	0.2	-0.000070
0.010000	0.2	-0.000060
0.013333	0.2	0.000810
0.016667	0.2	0.003884
0.020000	0.2	0.009632
0.023333	0.2	0.016831
0.026667	0.2	0.023878
0.030000	0.2	0.030184
0.033333	0.2	0.035829
0.036667	0.2	0.040578
0.040000	0.2	0.043793
0.043333	0.2	0.045253
0.046667	0.2	0.045431
0.050000	0.2	0.044610
0.053333	0.2	0.042555
0.056667	0.2	0.039343
0.060000	0.2	0.035731
0.063333	0.2	0.032516
0.066667	0.2	0.029822
0.070000	0.2	0.027166
0.073333	0.2	0.024103
0.076667	0.2	0.020609
0.080000	0.2	0.017069
0.083333	0.2	0.013998
0.086667	0.2	0.011571
0.090000	0.2	0.009623
0.093333	0.2	0.008029
0.096667	0.2	0.006687
0.100000	0.2	0.005286
0.103333	0.2	0.003635
0.106667	0.2	0.002038
0.110000	0.2	0.000806
0.113333	0.2	-0.000130
0.116667	0.2	-0.000770
0.120000	0.2	-0.000669
0.123333	0.2	0.000833
0.126667	0.2	0.003908
0.130000	0.2	0.007692
0.133333	0.2	0.010657
0.136667	0.2	0.011696
0.140000	0.2	0.010821
0.143333	0.2	0.008660
0.146667	0.2	0.005665
0.150000	0.2	0.002245
0.153333	0.2	-0.000820
0.156667	0.2	-0.002570
0.160000	0.2	-0.002511
0.163333	0.2	-0.001089
0.166667	0.2	0.000645
0.170000	0.2	0.001830
0.173333	0.2	0.002169
0.176667	0.2	0.001840
0.180000	0.2	0.001389
0.183333	0.2	0.001467
0.186667	0.2	0.002216
0.190000	0.2	0.003054
0.193333	0.2	0.003241
0.196667	0.2	0.002367
0.200000	0.2	0.000584
0.203333	0.2	-0.001194
0.206667	0.2	-0.001814
0.210000	0.2	-0.000833
0.213333	0.2	0.001286
0.216667	0.2	0.003498
0.220000	0.2	0.004716
0.223333	0.2	0.004499
0.226667	0.2	0.003227
0.230000	0.2	0.001769
0.233333	0.2	0.000959
0.236667	0.2	0.001007
0.240000	0.2	0.001621
0.243333	0.2	0.002617
0.246667	0.2	0.003855
0.250000	0.2	0.004704
0.253333	0.2	0.004296
0.256667	0.2	0.002448
0.260000	0.2	-0.000150
0.263333	0.2	-0.002662
0.266667	0.2	-0.004631
0.270000	0.2	-0.005758
0.273333	0.2	-0.005672
0.276667	0.2	-0.004227
0.280000	0.2	-0.001724
0.283333	0.2	0.000982
0.286667	0.2	0.002717
0.290000	0.2	0.003137
0.293333	0.2	0.003144
0.296667	0.2	0.003491
0.300000	0.2	0.003929
0.303333	0.2	0.003936
0.306667	0.2	0.003223
0.310000	0.2	0.001778
0.313333	0.2	0.000220
0.316667	0.2	-0.000658
0.320000	0.2	-0.000702
0.323333	0.2	-0.000021
0.326667	0.2	0.001486
0.330000	0.2	0.003670
0.333333	0.2	0.005899
0.336667	0.2	0.007405
0.340000	0.2	0.007494
0.343333	0.2	0.005977
0.346667	0.2	0.003619
0.350000	0.2	0.001550
0.353333	0.2	0.000197
0.356667	0.2	-0.000694
0.360000	0.2	-0.001105
0.363333	0.2	-0.000494
0.366667	0.2	0.001393
0.370000	0.2	0.003929
0.373333	0.2	0.006077
0.376667	0.2	0.007170
0.380000	0.2	0.006972
0.383333	0.2	0.005489
0.386667	0.2	0.003248
0.390000	0.2	0.001321
0.393333	0.2	0.000594
0.396667	0.2	0.001194
0.400000	0.2	0.002775
0.403333	0.2	0.004858
0.406667	0.2	0.006792
0.410000	0.2	0.007968
0.413333	0.2	0.008310
0.416667	0.2	0.008164
0.420000	0.2	0.007744
0.423333	0.2	0.007022
0.426667	0.2	0.006171
0.430000	0.2	0.005640
0.433333	0.2	0.005548
0.436667	0.2	0.005626
0.440000	0.2	0.005937
0.443333	0.2	0.006834
0.446667	0.2	0.008136
0.450000	0.2	0.009008
0.453333	0.2	0.008780
0.456667	0.2	0.007505
0.460000	0.2	0.005632
0.463333	0.2	0.003682
0.466667	0.2	0.002282
0.470000	0.2	0.001901
0.473333	0.2	0.002478
0.476667	0.2	0.003691
0.480000	0.2	0.005217
0.483333	0.2	0.006537
0.486667	0.2	0.007294
0.490000	0.2	0.007745
0.493333	0.2	0.008252
0.496667	0.2	0.008904
0.500000	0.2	0.009644
0.503333	0.2	0.010074
0.506667	0.2	0.009667
0.510000	0.2	0.008574
0.513333	0.2	0.007557
0.516667	0.2	0.007003
0.520000	0.2	0.006652
0.523333	0.2	0.006133
0.526667	0.2	0.005123
0.530000	0.2	0.003452
0.533333	0.2	0.001703
0.536667	0.2	0.000944
0.540000	0.2	0.001363
0.543333	0.2	0.002156
0.546667	0.2	0.002820
0.550000	0.2	0.003514
0.553333	0.2	0.004503
0.556667	0.2	0.005935
0.560000	0.2	0.007678
0.563333	0.2	0.009217
0.566667	0.2	0.010023
0.570000	0.2	0.010053
0.573333	0.2	0.009695
0.576667	0.2	0.009148
0.580000	0.2	0.008202
0.583333	0.2	0.006851
0.586667	0.2	0.005847
0.590000	0.2	0.006221
0.593333	0.2	0.008261
0.596667	0.2	0.011221
0.600000	0.2	0.013976
0.603333	0.2	0.015770
0.606667	0.2	0.016427
0.610000	0.2	0.016240
0.613333	0.2	0.015825
0.616667	0.2	0.015533
0.620000	0.2	0.014926
0.623333	0.2	0.013348
0.626667	0.2	0.010768
0.630000	0.2	0.007719
0.633333	0.2	0.004791
0.636667	0.2	0.002415
0.640000	0.2	0.000993
0.643333	0.2	0.001009
0.646667	0.2	0.002669
0.650000	0.2	0.005388
0.653333	0.2	0.007866
0.656667	0.2	0.009044
0.660000	0.2	0.008892
0.663333	0.2	0.007839
0.666667	0.2	0.006046
0.670000	0.2	0.003939
0.673333	0.2	0.002503
0.676667	0.2	0.002454
0.680000	0.2	0.003629
0.683333	0.2	0.005157
0.686667	0.2	0.006053
0.690000	0.2	0.005889
0.693333	0.2	0.004901
0.696667	0.2	0.003557
0.700000	0.2	0.002290
0.703333	0.2	0.001646
0.706667	0.2	0.002318
0.710000	0.2	0.004532
0.713333	0.2	0.007605
0.716667	0.2	0.010640
0.720000	0.2	0.013321
0.723333	0.2	0.015654
0.726667	0.2	0.017305
0.730000	0.2	0.017699
0.733333	0.2	0.016895
0.736667	0.2	0.015743
0.740000	0.2	0.014955
0.743333	0.2	0.014604
0.746667	0.2	0.014506
0.750000	0.2	0.014438
0.753333	0.2	0.014218
0.756667	0.2	0.013997
0.760000	0.2	0.014040
0.763333	0.2	0.014250
0.766667	0.2	0.014350
0.770000	0.2	0.014241
0.773333	0.2	0.014020
0.776667	0.2	0.013866
0.780000	0.2	0.013865
0.783333	0.2	0.013912
0.786667	0.2	0.014105
0.790000	0.2	0.015009
0.793333	0.2	0.016850
0.796667	0.2	0.018840
0.800000	0.2	0.019948
0.803333	0.2	0.019820
0.806667	0.2	0.018706
0.810000	0.2	0.017149
0.813333	0.2	0.015782
0.816667	0.2	0.014947
0.820000	0.2	0.014621
0.823333	0.2	0.014726
0.826667	0.2	0.015095
0.830000	0.2	0.015395
0.833333	0.2	0.015538
0.836667	0.2	0.015681
0.840000	0.2	0.015581
0.843333	0.2	0.014840
0.846667	0.2	0.013905
0.850000	0.2	0.013889
0.853333	0.2	0.015412
0.856667	0.2	0.018095
0.860000	0.2	0.020913
0.863333	0.2	0.022940
0.866667	0.2	0.023902
0.870000	0.2	0.023992
0.873333	0.2	0.023391
0.876667	0.2	0.022169
0.880000	0.2	0.020415
0.883333	0.2	0.018376
0.886667	0.2	0.016343
0.890000	0.2	0.014526
0.893333	0.2	0.013281
0.896667	0.2	0.013067
0.900000	0.2	0.013979
0.903333	0.2	0.015611
0.906667	0.2	0.017250
0.910000	0.2	0.018224
0.913333	0.2	0.018428
0.916667	0.2	0.018146
0.920000	0.2	0.017354
0.923333	0.2	0.016064
0.926667	0.2	0.014942
0.930000	0.2	0.014716
0.933333	0.2	0.015331
0.936667	0.2	0.016140
0.940000	0.2	0.016639
0.943333	0.2	0.016725
0.946667	0.2	0.016548
0.950000	0.2	0.016545
0.953333	0.2	0.017199
0.956667	0.2	0.018595
0.960000	0.2	0.020483
0.963333	0.2	0.022489
0.966667	0.2	0.024180
0.970000	0.2	0.025473
0.973333	0.2	0.026906
0.976667	0.2	0.028891
0.980000	0.2	0.030937
0.983333	0.2	0.032193
0.986667	0.2	0.032395
0.990000	0.2	0.031859
0.993333	0.2	0.030943
0.996667	0.2	0.029863
1.000000	0.2	0.028766
1.003333	0.2	0.027581
1.006667	0.2	0.026078
1.010000	0.2	0.024361
1.013333	0.2	0.022854
1.016667	0.2	0.021732
1.020000	0.2	0.020897
1.023333	0.2	0.020425
1.026667	0.2	0.020473
1.030000	0.2	0.020869
1.033333	0.2	0.021336
1.036667	0.2	0.021972
1.040000	0.2	0.023085
1.043333	0.2	0.024758
1.046667	0.2	0.026707
1.050000	0.2	0.028437
1.053333	0.2	0.029557
1.056667	0.2	0.030199
1.060000	0.2	0.030942
1.063333	0.2	0.031952
1.066667	0.2	0.032658
1.070000	0.2	0.032590
1.073333	0.2	0.031949
1.076667	0.2	0.031214
1.080000	0.2	0.030531
1.083333	0.2	0.029707
1.086667	0.2	0.028778
1.090000	0.2	0.028200
1.093333	0.2	0.028470
1.096667	0.2	0.029712
1.100000	0.2	0.031611
1.103333	0.2	0.033681
1.106667	0.2	0.035373
1.110000	0.2	0.036044
1.113333	0.2	0.035452
1.116667	0.2	0.034201
1.120000	0.2	0.033154
1.123333	0.2	0.032546
1.126667	0.2	0.032121
1.130000	0.2	0.031694
1.133333	0.2	0.031203
1.136667	0.2	0.030626
1.140000	0.2	0.030037
1.143333	0.2	0.029527
1.146667	0.2	0.029089
1.150000	0.2	0.028823
1.153333	0.2	0.029106
1.156667	0.2	0.030221
1.160000	0.2	0.031893
1.163333	0.2	0.033415
1.166667	0.2	0.034249
1.170000	0.2	0.034514
1.173333	0.2	0.034983
1.176667	0.2	0.036548
1.180000	0.2	0.039401
1.183333	0.2	0.042692
1.186667	0.2	0.045115
1.190000	0.2	0.045934
1.193333	0.2	0.045363
1.196667	0.2	0.044060
1.200000	0.2	0.042627
1.203333	0.2	0.041540
