File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/146.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 6
Injection Number	246
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	8:55:38 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.509650
Signal Max.	76.681797
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000002
0.006667	0.2	0.000089
0.010000	0.2	0.000524
0.013333	0.2	0.001619
0.016667	0.2	0.003546
0.020000	0.2	0.006510
0.023333	0.2	0.010890
0.026667	0.2	0.016827
0.030000	0.2	0.023752
0.033333	0.2	0.030564
0.036667	0.2	0.036266
0.040000	0.2	0.040400
0.043333	0.2	0.043084
0.046667	0.2	0.044614
0.050000	0.2	0.045123
0.053333	0.2	0.044634
0.056667	0.2	0.043013
0.060000	0.2	0.039819
0.063333	0.2	0.034881
0.066667	0.2	0.029089
0.070000	0.2	0.024012
0.073333	0.2	0.020724
0.076667	0.2	0.019208
0.080000	0.2	0.018627
0.083333	0.2	0.017977
0.086667	0.2	0.016674
0.090000	0.2	0.014965
0.093333	0.2	0.013860
0.096667	0.2	0.014297
0.100000	0.2	0.016251
0.103333	0.2	0.018630
0.106667	0.2	0.020074
0.110000	0.2	0.019841
0.113333	0.2	0.018023
0.116667	0.2	0.015323
0.120000	0.2	0.012741
0.123333	0.2	0.010878
0.126667	0.2	0.009482
0.130000	0.2	0.008160
0.133333	0.2	0.007119
0.136667	0.2	0.006619
0.140000	0.2	0.006298
0.143333	0.2	0.005507
0.146667	0.2	0.003886
0.150000	0.2	0.001807
0.153333	0.2	0.000540
0.156667	0.2	0.001322
0.160000	0.2	0.004114
0.163333	0.2	0.007701
0.166667	0.2	0.010734
0.170000	0.2	0.012354
0.173333	0.2	0.012434
0.176667	0.2	0.011568
0.180000	0.2	0.010510
0.183333	0.2	0.009589
0.186667	0.2	0.008823
0.190000	0.2	0.008364
0.193333	0.2	0.008536
0.196667	0.2	0.009403
0.200000	0.2	0.010548
0.203333	0.2	0.011331
0.206667	0.2	0.011164
0.210000	0.2	0.009681
0.213333	0.2	0.007086
0.216667	0.2	0.004168
0.220000	0.2	0.001774
0.223333	0.2	0.000519
0.226667	0.2	0.000513
0.230000	0.2	0.001193
0.233333	0.2	0.001991
0.236667	0.2	0.002703
0.240000	0.2	0.003117
0.243333	0.2	0.003090
0.246667	0.2	0.002785
0.250000	0.2	0.002382
0.253333	0.2	0.001992
0.256667	0.2	0.001880
0.260000	0.2	0.002187
0.263333	0.2	0.002691
0.266667	0.2	0.003350
0.270000	0.2	0.004401
0.273333	0.2	0.005638
0.276667	0.2	0.006475
0.280000	0.2	0.006876
0.283333	0.2	0.007347
0.286667	0.2	0.008046
0.290000	0.2	0.008566
0.293333	0.2	0.008402
0.296667	0.2	0.007394
0.300000	0.2	0.005835
0.303333	0.2	0.003982
0.306667	0.2	0.001940
0.310000	0.2	0.000177
0.313333	0.2	-0.000698
0.316667	0.2	-0.000622
0.320000	0.2	0.000019
0.323333	0.2	0.001020
0.326667	0.2	0.002493
0.330000	0.2	0.004254
0.333333	0.2	0.005510
0.336667	0.2	0.005433
0.340000	0.2	0.003765
0.343333	0.2	0.000790
0.346667	0.2	-0.002802
0.350000	0.2	-0.006050
0.353333	0.2	-0.008116
0.356667	0.2	-0.008575
0.360000	0.2	-0.007416
0.363333	0.2	-0.005097
0.366667	0.2	-0.002546
0.370000	0.2	-0.000787
0.373333	0.2	-0.000360
0.376667	0.2	-0.000936
0.380000	0.2	-0.001414
0.383333	0.2	-0.000740
0.386667	0.2	0.001206
0.390000	0.2	0.003762
0.393333	0.2	0.006352
0.396667	0.2	0.008936
0.400000	0.2	0.011722
0.403333	0.2	0.014551
0.406667	0.2	0.016812
0.410000	0.2	0.017866
0.413333	0.2	0.017254
0.416667	0.2	0.014809
0.420000	0.2	0.010802
0.423333	0.2	0.006016
0.426667	0.2	0.001827
0.430000	0.2	-0.000577
0.433333	0.2	-0.001375
0.436667	0.2	-0.001586
0.440000	0.2	-0.001553
0.443333	0.2	-0.000660
0.446667	0.2	0.001726
0.450000	0.2	0.005208
0.453333	0.2	0.008301
0.456667	0.2	0.009744
0.460000	0.2	0.009534
0.463333	0.2	0.008371
0.466667	0.2	0.006653
0.470000	0.2	0.004494
0.473333	0.2	0.002393
0.476667	0.2	0.001279
0.480000	0.2	0.001700
0.483333	0.2	0.003150
0.486667	0.2	0.004556
0.490000	0.2	0.005133
0.493333	0.2	0.004359
0.496667	0.2	0.002220
0.500000	0.2	-0.000090
0.503333	0.2	-0.001040
0.506667	0.2	-0.000340
0.510000	0.2	0.001177
0.513333	0.2	0.002720
0.516667	0.2	0.004249
0.520000	0.2	0.006207
0.523333	0.2	0.008482
0.526667	0.2	0.010183
0.530000	0.2	0.010687
0.533333	0.2	0.010118
0.536667	0.2	0.008886
0.540000	0.2	0.007383
0.543333	0.2	0.005925
0.546667	0.2	0.004676
0.550000	0.2	0.003581
0.553333	0.2	0.002452
0.556667	0.2	0.001376
0.560000	0.2	0.000827
0.563333	0.2	0.000997
0.566667	0.2	0.001536
0.570000	0.2	0.002122
0.573333	0.2	0.002722
0.576667	0.2	0.003315
0.580000	0.2	0.003736
0.583333	0.2	0.003853
0.586667	0.2	0.003875
0.590000	0.2	0.004366
0.593333	0.2	0.005651
0.596667	0.2	0.007181
0.600000	0.2	0.007737
0.603333	0.2	0.006489
0.606667	0.2	0.003920
0.610000	0.2	0.001442
0.613333	0.2	0.000136
0.616667	0.2	0.000163
0.620000	0.2	0.001012
0.623333	0.2	0.001962
0.626667	0.2	0.002594
0.630000	0.2	0.003113
0.633333	0.2	0.004050
0.636667	0.2	0.005566
0.640000	0.2	0.007138
0.643333	0.2	0.008095
0.646667	0.2	0.008456
0.650000	0.2	0.008804
0.653333	0.2	0.009203
0.656667	0.2	0.008951
0.660000	0.2	0.007709
0.663333	0.2	0.006165
0.666667	0.2	0.005236
0.670000	0.2	0.005199
0.673333	0.2	0.005649
0.676667	0.2	0.005933
0.680000	0.2	0.005827
0.683333	0.2	0.005679
0.686667	0.2	0.005708
0.690000	0.2	0.005747
0.693333	0.2	0.005739
0.696667	0.2	0.005841
0.700000	0.2	0.006253
0.703333	0.2	0.007248
0.706667	0.2	0.008974
0.710000	0.2	0.010997
0.713333	0.2	0.012403
0.716667	0.2	0.012705
0.720000	0.2	0.012434
0.723333	0.2	0.012511
0.726667	0.2	0.013233
0.730000	0.2	0.014187
0.733333	0.2	0.014932
0.736667	0.2	0.015427
0.740000	0.2	0.015768
0.743333	0.2	0.015734
0.746667	0.2	0.015102
0.750000	0.2	0.014209
0.753333	0.2	0.013492
0.756667	0.2	0.012918
0.760000	0.2	0.012367
0.763333	0.2	0.011989
0.766667	0.2	0.011910
0.770000	0.2	0.011945
0.773333	0.2	0.011788
0.776667	0.2	0.011333
0.780000	0.2	0.010747
0.783333	0.2	0.010479
0.786667	0.2	0.011085
0.790000	0.2	0.012689
0.793333	0.2	0.014741
0.796667	0.2	0.016542
0.800000	0.2	0.017831
0.803333	0.2	0.018678
0.806667	0.2	0.019215
0.810000	0.2	0.019724
0.813333	0.2	0.020444
0.816667	0.2	0.021243
0.820000	0.2	0.021861
0.823333	0.2	0.022240
0.826667	0.2	0.022332
0.830000	0.2	0.021678
0.833333	0.2	0.019650
0.836667	0.2	0.016478
0.840000	0.2	0.013387
0.843333	0.2	0.011356
0.846667	0.2	0.010237
0.850000	0.2	0.009170
0.853333	0.2	0.007834
0.856667	0.2	0.007108
0.860000	0.2	0.008058
0.863333	0.2	0.010687
0.866667	0.2	0.013975
0.870000	0.2	0.016746
0.873333	0.2	0.018541
0.876667	0.2	0.019574
0.880000	0.2	0.019990
0.883333	0.2	0.019814
0.886667	0.2	0.019166
0.890000	0.2	0.018129
0.893333	0.2	0.016859
0.896667	0.2	0.015729
0.900000	0.2	0.015140
0.903333	0.2	0.015166
0.906667	0.2	0.015387
0.910000	0.2	0.015333
0.913333	0.2	0.015043
0.916667	0.2	0.015065
0.920000	0.2	0.016003
0.923333	0.2	0.018066
0.926667	0.2	0.020941
0.930000	0.2	0.023957
0.933333	0.2	0.026326
0.936667	0.2	0.027495
0.940000	0.2	0.027644
0.943333	0.2	0.027752
0.946667	0.2	0.028688
0.950000	0.2	0.030272
0.953333	0.2	0.031466
0.956667	0.2	0.031155
0.960000	0.2	0.028956
0.963333	0.2	0.025679
0.966667	0.2	0.022644
0.970000	0.2	0.020530
0.973333	0.2	0.019319
0.976667	0.2	0.019114
0.980000	0.2	0.020352
0.983333	0.2	0.022985
0.986667	0.2	0.025977
0.990000	0.2	0.028016
0.993333	0.2	0.028635
0.996667	0.2	0.028451
1.000000	0.2	0.028289
1.003333	0.2	0.028436
1.006667	0.2	0.028866
1.010000	0.2	0.029419
1.013333	0.2	0.029499
1.016667	0.2	0.028398
1.020000	0.2	0.026212
1.023333	0.2	0.024043
1.026667	0.2	0.022897
1.030000	0.2	0.022665
1.033333	0.2	0.022713
1.036667	0.2	0.022906
1.040000	0.2	0.023482
1.043333	0.2	0.024491
1.046667	0.2	0.025740
1.050000	0.2	0.027069
1.053333	0.2	0.028449
1.056667	0.2	0.029745
1.060000	0.2	0.030621
1.063333	0.2	0.030913
1.066667	0.2	0.030872
1.070000	0.2	0.030806
1.073333	0.2	0.030733
1.076667	0.2	0.030607
