File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/341.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 4
Injection Number	244
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	7:49:31 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.773254
Signal Max.	60.977232
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000073
0.006667	0.2	0.000600
0.010000	0.2	0.002340
0.013333	0.2	0.005925
0.016667	0.2	0.011304
0.020000	0.2	0.017898
0.023333	0.2	0.024946
0.026667	0.2	0.031491
0.030000	0.2	0.036675
0.033333	0.2	0.040429
0.036667	0.2	0.043383
0.040000	0.2	0.045925
0.043333	0.2	0.047875
0.046667	0.2	0.048823
0.050000	0.2	0.048261
0.053333	0.2	0.046041
0.056667	0.2	0.042800
0.060000	0.2	0.039262
0.063333	0.2	0.035585
0.066667	0.2	0.031978
0.070000	0.2	0.029211
0.073333	0.2	0.028096
0.076667	0.2	0.028617
0.080000	0.2	0.029564
0.083333	0.2	0.029305
0.086667	0.2	0.027058
0.090000	0.2	0.023278
0.093333	0.2	0.019163
0.096667	0.2	0.015988
0.100000	0.2	0.014344
0.103333	0.2	0.013901
0.106667	0.2	0.014013
0.110000	0.2	0.014086
0.113333	0.2	0.013645
0.116667	0.2	0.012597
0.120000	0.2	0.011305
0.123333	0.2	0.010323
0.126667	0.2	0.009979
0.130000	0.2	0.009993
0.133333	0.2	0.009650
0.136667	0.2	0.008586
0.140000	0.2	0.007262
0.143333	0.2	0.006609
0.146667	0.2	0.007187
0.150000	0.2	0.008627
0.153333	0.2	0.010031
0.156667	0.2	0.010849
0.160000	0.2	0.011131
0.163333	0.2	0.011222
0.166667	0.2	0.011362
0.170000	0.2	0.011435
0.173333	0.2	0.011130
0.176667	0.2	0.010437
0.180000	0.2	0.009902
0.183333	0.2	0.010162
0.186667	0.2	0.011296
0.190000	0.2	0.012888
0.193333	0.2	0.014500
0.196667	0.2	0.015734
0.200000	0.2	0.016197
0.203333	0.2	0.015662
0.206667	0.2	0.014160
0.210000	0.2	0.012038
0.213333	0.2	0.009897
0.216667	0.2	0.008377
0.220000	0.2	0.007893
0.223333	0.2	0.008165
0.226667	0.2	0.008225
0.230000	0.2	0.007542
0.233333	0.2	0.006754
0.236667	0.2	0.006729
0.240000	0.2	0.007592
0.243333	0.2	0.008956
0.246667	0.2	0.010272
0.250000	0.2	0.011093
0.253333	0.2	0.011444
0.256667	0.2	0.011661
0.260000	0.2	0.011933
0.263333	0.2	0.012158
0.266667	0.2	0.012043
0.270000	0.2	0.011419
0.273333	0.2	0.010369
0.276667	0.2	0.008959
0.280000	0.2	0.007255
0.283333	0.2	0.005611
0.286667	0.2	0.004372
0.290000	0.2	0.003519
0.293333	0.2	0.003076
0.296667	0.2	0.003275
0.300000	0.2	0.003912
0.303333	0.2	0.004157
0.306667	0.2	0.003289
0.310000	0.2	0.001395
0.313333	0.2	-0.000713
0.316667	0.2	-0.002302
0.320000	0.2	-0.003378
0.323333	0.2	-0.004259
0.326667	0.2	-0.004908
0.330000	0.2	-0.005109
0.333333	0.2	-0.004786
0.336667	0.2	-0.003890
0.340000	0.2	-0.002281
0.343333	0.2	0.000179
0.346667	0.2	0.003337
0.350000	0.2	0.006445
0.353333	0.2	0.008294
0.356667	0.2	0.008043
0.360000	0.2	0.006133
0.363333	0.2	0.003996
0.366667	0.2	0.002698
0.370000	0.2	0.002266
0.373333	0.2	0.002378
0.376667	0.2	0.002843
0.380000	0.2	0.003351
0.383333	0.2	0.003694
0.386667	0.2	0.004077
0.390000	0.2	0.004776
0.393333	0.2	0.005974
0.396667	0.2	0.007809
0.400000	0.2	0.010077
0.403333	0.2	0.012078
0.406667	0.2	0.012915
0.410000	0.2	0.012271
0.413333	0.2	0.010953
0.416667	0.2	0.010049
0.420000	0.2	0.009661
0.423333	0.2	0.008886
0.426667	0.2	0.006832
0.430000	0.2	0.003559
0.433333	0.2	0.000152
0.436667	0.2	-0.001895
0.440000	0.2	-0.001555
0.443333	0.2	0.001003
0.446667	0.2	0.004606
0.450000	0.2	0.008069
0.453333	0.2	0.010666
0.456667	0.2	0.011970
0.460000	0.2	0.011949
0.463333	0.2	0.011052
0.466667	0.2	0.009947
0.470000	0.2	0.009203
0.473333	0.2	0.009040
0.476667	0.2	0.009287
0.480000	0.2	0.009662
0.483333	0.2	0.010072
0.486667	0.2	0.010645
0.490000	0.2	0.011341
0.493333	0.2	0.011781
0.496667	0.2	0.011855
0.500000	0.2	0.011882
0.503333	0.2	0.011881
0.506667	0.2	0.011588
0.510000	0.2	0.011053
0.513333	0.2	0.010596
0.516667	0.2	0.010494
0.520000	0.2	0.010922
0.523333	0.2	0.011687
0.526667	0.2	0.012108
0.530000	0.2	0.011705
0.533333	0.2	0.010759
0.536667	0.2	0.009785
0.540000	0.2	0.008909
0.543333	0.2	0.008178
0.546667	0.2	0.008044
0.550000	0.2	0.009027
0.553333	0.2	0.011037
0.556667	0.2	0.013341
0.560000	0.2	0.015110
0.563333	0.2	0.015835
0.566667	0.2	0.015497
0.570000	0.2	0.014489
0.573333	0.2	0.013180
0.576667	0.2	0.011618
0.580000	0.2	0.009867
0.583333	0.2	0.008424
0.586667	0.2	0.007930
0.590000	0.2	0.008511
0.593333	0.2	0.009593
0.596667	0.2	0.010388
0.600000	0.2	0.010493
0.603333	0.2	0.010138
0.606667	0.2	0.009997
0.610000	0.2	0.010555
0.613333	0.2	0.011714
0.616667	0.2	0.012869
0.620000	0.2	0.013041
0.623333	0.2	0.011513
0.626667	0.2	0.008657
0.630000	0.2	0.005848
0.633333	0.2	0.004435
0.636667	0.2	0.004857
0.640000	0.2	0.006721
0.643333	0.2	0.009238
0.646667	0.2	0.011446
0.650000	0.2	0.012646
0.653333	0.2	0.012735
0.656667	0.2	0.012006
0.660000	0.2	0.010873
0.663333	0.2	0.009779
0.666667	0.2	0.009166
0.670000	0.2	0.009342
0.673333	0.2	0.010272
0.676667	0.2	0.011687
0.680000	0.2	0.013389
0.683333	0.2	0.015249
0.686667	0.2	0.017048
0.690000	0.2	0.018441
0.693333	0.2	0.019025
0.696667	0.2	0.018546
0.700000	0.2	0.017240
0.703333	0.2	0.015742
0.706667	0.2	0.014429
0.710000	0.2	0.013243
0.713333	0.2	0.012115
0.716667	0.2	0.011282
0.720000	0.2	0.011305
0.723333	0.2	0.012578
0.726667	0.2	0.014574
0.730000	0.2	0.016120
0.733333	0.2	0.016836
0.736667	0.2	0.017553
0.740000	0.2	0.019101
0.743333	0.2	0.021408
0.746667	0.2	0.023699
0.750000	0.2	0.025000
0.753333	0.2	0.024612
0.756667	0.2	0.022469
0.760000	0.2	0.019161
0.763333	0.2	0.015677
0.766667	0.2	0.012935
0.770000	0.2	0.011375
0.773333	0.2	0.011073
0.776667	0.2	0.011934
0.780000	0.2	0.013527
0.783333	0.2	0.015152
0.786667	0.2	0.016290
0.790000	0.2	0.016833
0.793333	0.2	0.017022
0.796667	0.2	0.016929
0.800000	0.2	0.016243
0.803333	0.2	0.015227
0.806667	0.2	0.015073
0.810000	0.2	0.016426
0.813333	0.2	0.018450
0.816667	0.2	0.019867
0.820000	0.2	0.020386
0.823333	0.2	0.020737
0.826667	0.2	0.021313
0.830000	0.2	0.021418
0.833333	0.2	0.020252
0.836667	0.2	0.018022
0.840000	0.2	0.015668
0.843333	0.2	0.013938
0.846667	0.2	0.013004
0.850000	0.2	0.012696
0.853333	0.2	0.012962
0.856667	0.2	0.014076
0.860000	0.2	0.016217
0.863333	0.2	0.018920
0.866667	0.2	0.021241
0.870000	0.2	0.022442
0.873333	0.2	0.022457
0.876667	0.2	0.021750
0.880000	0.2	0.020704
0.883333	0.2	0.019453
0.886667	0.2	0.018483
0.890000	0.2	0.018595
0.893333	0.2	0.019855
0.896667	0.2	0.021355
0.900000	0.2	0.022203
0.903333	0.2	0.022144
0.906667	0.2	0.021408
0.910000	0.2	0.020416
0.913333	0.2	0.019527
0.916667	0.2	0.018969
0.920000	0.2	0.018880
0.923333	0.2	0.019224
0.926667	0.2	0.019690
0.930000	0.2	0.019881
0.933333	0.2	0.019732
0.936667	0.2	0.019468
0.940000	0.2	0.019149
0.943333	0.2	0.018717
0.946667	0.2	0.018330
0.950000	0.2	0.018180
0.953333	0.2	0.018189
0.956667	0.2	0.018273
0.960000	0.2	0.018643
0.963333	0.2	0.019650
0.966667	0.2	0.021381
0.970000	0.2	0.023495
0.973333	0.2	0.025394
0.976667	0.2	0.026429
0.980000	0.2	0.026358
0.983333	0.2	0.025770
0.986667	0.2	0.025594
0.990000	0.2	0.026169
0.993333	0.2	0.027014
0.996667	0.2	0.027479
1.000000	0.2	0.027341
1.003333	0.2	0.026705
1.006667	0.2	0.025824
1.010000	0.2	0.025109
1.013333	0.2	0.024904
1.016667	0.2	0.025241
1.020000	0.2	0.025921
1.023333	0.2	0.026638
1.026667	0.2	0.027075
1.030000	0.2	0.027153
1.033333	0.2	0.027093
1.036667	0.2	0.027174
1.040000	0.2	0.027568
1.043333	0.2	0.028226
1.046667	0.2	0.028601
1.050000	0.2	0.027780
1.053333	0.2	0.025388
1.056667	0.2	0.022262
1.060000	0.2	0.019775
1.063333	0.2	0.018690
1.066667	0.2	0.018940
1.070000	0.2	0.020002
1.073333	0.2	0.021220
1.076667	0.2	0.022393
1.080000	0.2	0.024056
1.083333	0.2	0.026538
1.086667	0.2	0.029161
1.090000	0.2	0.031110
1.093333	0.2	0.032478
1.096667	0.2	0.033836
1.100000	0.2	0.035463
1.103333	0.2	0.037361
1.106667	0.2	0.039414
1.110000	0.2	0.041188
1.113333	0.2	0.041925
1.116667	0.2	0.041176
1.120000	0.2	0.039444
1.123333	0.2	0.038192
1.126667	0.2	0.038837
1.130000	0.2	0.041295
1.133333	0.2	0.044008
1.136667	0.2	0.045601
1.140000	0.2	0.045836
1.143333	0.2	0.045305
1.146667	0.2	0.044689
1.150000	0.2	0.044079
1.153333	0.2	0.043243
1.156667	0.2	0.042524
1.160000	0.2	0.042644
1.163333	0.2	0.043672
1.166667	0.2	0.045097
1.170000	0.2	0.046761
1.173333	0.2	0.048875
1.176667	0.2	0.051163
1.180000	0.2	0.052915
1.183333	0.2	0.053846
1.186667	0.2	0.054039
1.190000	0.2	0.053363
1.193333	0.2	0.051758
1.196667	0.2	0.049599
1.200000	0.2	0.047511
1.203333	0.2	0.046199
1.206667	0.2	0.046140
1.210000	0.2	0.047104
1.213333	0.2	0.048379
1.216667	0.2	0.049678
1.220000	0.2	0.051260
1.223333	0.2	0.052836
1.226667	0.2	0.053388
1.230000	0.2	0.052499
1.233333	0.2	0.050879
1.236667	0.2	0.049445
1.240000	0.2	0.048672
1.243333	0.2	0.048607
1.246667	0.2	0.048926
1.250000	0.2	0.049246
1.253333	0.2	0.049624
1.256667	0.2	0.050343
1.260000	0.2	0.051337
1.263333	0.2	0.052270
1.266667	0.2	0.052935
1.270000	0.2	0.053182
1.273333	0.2	0.052665
1.276667	0.2	0.051138
1.280000	0.2	0.048920
1.283333	0.2	0.046712
1.286667	0.2	0.045163
1.290000	0.2	0.044634
1.293333	0.2	0.045109
1.296667	0.2	0.046440
1.300000	0.2	0.048585
1.303333	0.2	0.051377
1.306667	0.2	0.054115
1.310000	0.2	0.055764
1.313333	0.2	0.055891
1.316667	0.2	0.055291
1.320000	0.2	0.055362
1.323333	0.2	0.056804
1.326667	0.2	0.059217
1.330000	0.2	0.061793
1.333333	0.2	0.063736
1.336667	0.2	0.064304
1.340000	0.2	0.063333
1.343333	0.2	0.061608
1.346667	0.2	0.060237
1.350000	0.2	0.059903
1.353333	0.2	0.060807
1.356667	0.2	0.062740
1.360000	0.2	0.064963
1.363333	0.2	0.066535
1.366667	0.2	0.067238
1.370000	0.2	0.067625
1.373333	0.2	0.067900
1.376667	0.2	0.067524
1.380000	0.2	0.066085
1.383333	0.2	0.064007
1.386667	0.2	0.062396
1.390000	0.2	0.062227
1.393333	0.2	0.063535
1.396667	0.2	0.065444
1.400000	0.2	0.066982
1.403333	0.2	0.067787
1.406667	0.2	0.068209
1.410000	0.2	0.068948
1.413333	0.2	0.070356
1.416667	0.2	0.071988
1.420000	0.2	0.072959
1.423333	0.2	0.072773
1.426667	0.2	0.071771
1.430000	0.2	0.070669
1.433333	0.2	0.069717
1.436667	0.2	0.068507
1.440000	0.2	0.066578
1.443333	0.2	0.064122
1.446667	0.2	0.061988
1.450000	0.2	0.061033
1.453333	0.2	0.061362
1.456667	0.2	0.062165
1.460000	0.2	0.062459
1.463333	0.2	0.061871
1.466667	0.2	0.060730
1.470000	0.2	0.059669
1.473333	0.2	0.059239
1.476667	0.2	0.059702
1.480000	0.2	0.061019
1.483333	0.2	0.063003
1.486667	0.2	0.065410
1.490000	0.2	0.068066
1.493333	0.2	0.070826
1.496667	0.2	0.073338
1.500000	0.2	0.075114
1.503333	0.2	0.075907
1.506667	0.2	0.075990
1.510000	0.2	0.075983
1.513333	0.2	0.076324
1.516667	0.2	0.076940
1.520000	0.2	0.077423
1.523333	0.2	0.077489
1.526667	0.2	0.077255
1.530000	0.2	0.077105
1.533333	0.2	0.077412
1.536667	0.2	0.078563
