Plate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Dish 1,57.70658947172619,58.05300841039541,57.993730955924036,57.892942951920354,57.917711322810376,57.947145492311506,57.946545936082764,57.9227397339144,58.009692548894556,57.92767292463861,57.97768521471088,58.03163807840845,57.993138042977606,58.08027797707625,58.11579794678288,58.15893167162698,58.20249499539399,58.24174240008504,58.27440963364513,58.32084285537132,58.33793602076247,58.41033783304989,58.80040535094246,58.5178754118835,58.56536602271117,58.668965795953795,58.894743281427154,58.85382453762755,59.023603028450964,59.22213087709042,59.446407534367914,59.85204967403628,60.169189453125,60.6901296325822,61.038599131058675,61.406217890802154,61.70125491602891,61.865800161210316,62.03540814112103,62.20990059435233,62.28852273331208,62.30386262577948,62.41904053287982,62.462090109481295,62.481608072916664,62.498209081809804,62.78032547654478,62.5675505553784,62.61440839356576,62.628450077947846,62.61927404425312,62.65428524925595,62.713445892679985,62.76155986483135,62.712232386444164,62.7239738343254,62.75673462744473,62.83392126381803,62.79307282808957,62.83353263180272,62.8337933806335,62.90579216712727,62.909307570684526,62.91616897410006,62.93448118179563,63.00108119419643,63.06059725322421,63.03340851314484,63.0758513366284,63.053547623476476,63.28842086964994,63.154263658588434,63.2562563111182,63.181853210034014,63.218716783588434,63.20779301303855,63.263844600340136,63.28003261851616,63.34200226314484,63.27264584219105,63.30392462974773,63.34932814271542,63.34399192619756,63.40844671201814,63.42968916082058,63.44871330693736,63.44989470397534,63.44056919642857,63.49557612758645,63.49009154443027,63.53176596159297,63.57557785483985
Dish 2,57.449440746350625,57.32016634778912,57.07202093076814,56.87475143052013,56.83067269876701,56.80620770443594,56.75684977767148,56.68500987634637,56.74711902990363,56.60501756040958,56.62776858790391,56.658130048894556,56.588353440334465,56.65828948767007,56.66525441556831,56.684060994189345,56.71261658960459,56.72139679439484,56.730735034899375,56.772575534119895,56.77271282862103,56.8082554962089,57.22211759052579,56.89725278132086,56.930921489689624,57.01580713665675,57.22533238555839,57.1566414000496,57.32056715915533,57.503450077947846,57.73612938013747,58.154317358453795,58.465257294323976,59.023649531427154,59.39296011373299,59.74851799443736,60.056318425807824,60.20738777281746,60.36571878100198,60.54725975676729,60.61592472275368,60.61198470273526,60.71631412981859,60.75200239601049,60.774785532702666,60.77286174886621,61.08624253737953,60.835238294536566,60.89180196818311,60.90077206012614,60.859687787875565,60.899238015518705,60.95355017006803,60.97924472523384,60.92685580091412,60.92749244880244,60.9672264739229,61.029473475588155,60.98173927774235,61.01258459112812,61.02000845911281,61.069601668792515,61.06722448093821,61.082844498476476,61.090898924674036,61.152622767857146,61.21112074387047,61.17715308779762,61.208039368090986,61.18130403202948,61.41936771453373,61.268637174922056,61.37943605176446,61.287517936862244,61.32307333740788,61.29937564218395,61.34884650474773,61.367431640625,61.43120770443594,61.342940626771544,61.373555086096935,61.420396869685376,61.393140589569164,61.46688434488379,61.49189076672336,61.51436111553996,61.49302676799886,61.4799832367843,61.527078018707485,61.520962877338434,61.57221413956208,61.59375719688917
Dish 3,54.366771741248584,54.79951570471939,54.81904861553996,54.79176244065334,54.89927566078515,54.99144511320153,55.02583406409439,55.043821304563494,55.15726974383504,55.10393913424745,55.20800615167942,55.26466670652636,55.27133213311366,55.37324838789682,55.406955848745746,55.43614089516015,55.50192378383645,55.49555841216695,55.55306432468821,55.59399912308673,55.575510314803005,55.71044257546769,55.94801410147392,55.801003246350625,55.81987293615363,55.92234944107852,56.023180626417236,56.04818594104309,56.15047366602891,56.26865212230726,56.34685905612245,56.565641718927154,56.63169587496457,56.84984964037698,56.99078908907313,57.19895578674178,57.35110355991355,57.443723094706634,57.60147669093679,57.75545745642007,57.885612643494895,57.92069194214144,58.040803039965986,58.091832305839006,58.167059173929985,58.135424970769556,58.44243706597222,58.254271076920354,58.32221026431406,58.327951721053005,58.30712835264314,58.33872380332341,58.401250376452666,58.41483422796202,58.38085494614513,58.401932973710316,58.43485874167375,58.470088621386054,58.43309937907455,58.469760886125286,58.43882090596655,58.52267739778203,58.51065527122307,58.505010142077666,58.504217377054985,58.58515303908022,58.62681583049886,58.590164841978456,58.62020687181123,58.61377340649802,58.81609678376559,58.66573549992914,58.72948499061083,58.725563239618765,58.75253441220238,58.72694338151928,58.7619601225907,58.825474883964006,58.883955144557824,58.77500697544643,58.809601868090986,58.83890372555272,58.84159868374433,58.91792224702381,58.92508758060516,58.90152219742063,58.9161069701318,58.8883513366284,58.98213732107426,58.94795099029195,58.990212784332485,59.032100340136054
Dish 4,54.558809028649286,54.973525068127216,54.97513972802897,54.918801431568,55.02007119742551,55.09365251532862,55.120023239449246,55.12213988938291,55.24535883323174,55.15953478521998,55.26335427946502,55.317499170820035,55.30813503980064,55.41617662877837,55.440457035031734,55.463021935171575,55.53094522033777,55.506604306357346,55.55838827584352,55.61334778048693,55.5846183755244,55.707561673061065,55.97652916472445,55.80848071820431,55.80643017856502,55.9058006741009,56.00373299060561,55.99077089085302,56.08751658359927,56.16234783427158,56.22213899297214,56.41114216178421,56.39790385546273,56.58171008282836,56.65654637581125,56.801386187206425,56.91623769676217,57.012908315106316,57.183958617196744,57.3931304681057,57.58987806572484,57.69266724783965,57.90883110276453,58.033815415576036,58.217926422603895,58.2329132901861,58.66734812560508,58.48138266879415,58.62763376689734,58.65493507744989,58.66060095378106,58.71967106206748,58.802287080031554,58.80424517731005,58.79637076894116,58.81575397109972,58.86484254544803,58.89196793538671,58.865240327727776,58.90702035300656,58.88301839434903,58.947534198070926,58.926276937143676,58.94108508282836,58.9336275054681,59.00842233945283,59.05237560059522,59.005928636738496,59.036237405428665,59.03355489619563,59.22764631664814,59.05808517695149,59.128084213309904,59.11187430528165,59.13089053928072,59.10119132991502,59.125885765893365,59.20667814819463,59.26365625784359,59.1244038868371,59.16534016547743,59.18679911882821,59.17743162626842,59.26735115099143,59.279325518125425,59.252434875757466,59.25385232528954,59.21595824070422,59.31307258238015,59.272165997346626,59.31904323837355,59.364252595109186
Dish 5,57.76225621389434,58.088089489850994,57.98281809075584,57.87605304714586,57.91418706870321,57.95944005543698,57.95277917826231,57.92252982291706,58.01558776299804,57.92919125534991,58.00195284303295,58.01930854808869,57.994468517971484,58.103977092268366,58.104788324475116,58.11999962242444,58.14145979597593,58.13559071697158,58.166017199677505,58.217156478419334,58.179110187655056,58.24739250756817,58.571219635706214,58.3155671073936,58.30920162757279,58.38204705924161,58.521834972825665,58.45549605655638,58.562005681401736,58.637548002070005,58.715929357832806,58.94641258792513,59.0392667482526,59.37341057344844,59.666079388594106,60.04124346738747,60.417510288934146,60.738993672277736,61.03347262910308,61.33428819232367,61.51951010680946,61.608177065171766,61.76298637840623,61.83154466163677,61.92190071539464,61.90787489366806,62.21573612798479,61.99114696351509,62.05419264349537,62.06533667524726,62.039747601839906,62.05555302604605,62.1217997694568,62.15142723563603,62.096449457068545,62.11896351065318,62.14830835041678,62.18411028760153,62.151621020742226,62.18129957067437,62.17192514675474,62.231047372407225,62.22731270586197,62.22144529263217,62.223371483272295,62.30735150730386,62.35492491798836,62.30975633049856,62.354838852969856,62.33181229608143,62.53801130949869,62.40690874442799,62.48536950211109,62.426699256620346,62.47909952669792,62.44474459234055,62.49632419082225,62.53958491119201,62.578872759255596,62.484508851925966,62.52063839143925,62.561424881341324,62.54445063865796,62.614178850882084,62.624040791487225,62.61464748878934,62.640001132726695,62.60496656235216,62.6882941580176,62.65805646309421,62.69052962746618,62.74460066941926
Dish 6,53.93917853599773,54.59770441379677,54.612867152069164,54.541424740469104,54.61892693275227,54.69244094122024,54.705152308319164,54.69568673823696,54.82076202876984,54.71490077150652,54.82100174053996,54.86181087018141,54.834252874326815,54.978100973462304,55.00541261426446,55.06738890217545,55.12653127657313,55.13667612227182,55.187859844458615,55.26904241514314,55.26500551392432,55.34454553305697,55.669269172512756,55.49351228121457,55.51508800134637,55.63407583085318,55.75147868392148,55.74530209219105,55.88299297583617,55.979607337726755,56.07505469635771,56.304963749822846,56.34492475375567,56.60443073713861,56.74867300435799,56.904817819054706,57.06858912184666,57.15751277724632,57.266588829542236,57.42005750868056,57.506171055661845,57.50903098869756,57.617174767042236,57.65399183762047,57.73384796626984,57.71295152175453,58.03429317690618,57.80202022215136,57.87933252728175,57.879768215880105,57.86695996758078,57.88335060586735,57.959637631094104,57.96603566556831,57.92716194550737,57.94716099330357,57.987910887011054,58.003294514420354,57.981966810161566,58.003639965100625,58.01337569533022,58.05735588506236,58.030544704861114,58.04195564944728,58.04283200910572,58.12539970415249,58.15106381094105,58.107504362422056,58.148358887825964,58.1225436463648,58.302369548079646,58.17154172867063,58.23960160235969,58.18564043455924,58.22299228936366,58.19195376718395,58.235571344423185,58.292018760629254,58.32231157436933,58.22001277724632,58.26053735296202,58.295530288938494,58.26347423735119,58.34494191556831,58.35389650651928,58.34787271028203,58.35209617701247,58.30742840756094,58.40192079435941,58.35430285395408,58.39525315334467,58.44210988431831
