Plate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Dish 1,10.866544389463073,10.803552748064085,10.793580280041864,10.797918107783063,10.828606492432465,10.793497452991964,10.788627716645172,10.809114748674665,10.81819227635988,10.834821119746367,10.836510251955932,10.847869787085202,10.868753280881904,10.857300453418677,10.884210355243605,10.900089854187387,10.913023070748714,10.910778876457575,10.921445436155894,10.928375143122693,10.946991469417435,10.960952236057087,10.995204293988078,11.011804070169607,11.012586574176847,11.047110126055099,11.057744067088503,11.074936852805239,11.09491212853464,11.115840116992752,11.107209397673396,11.15088186520386,11.159740048300828,11.183480490463062,11.228201576694785,11.259220652010937,11.284035469034443,11.347602225330895,11.379602721944611,11.437488705174555,11.495709890648092,11.556105610725329,11.58708620984778,11.624520499591203,11.64313495573051,11.688934250708318,11.712202703242431,11.748198222696736,11.78565399166071,11.806177964366315,11.821972776186422,11.851025402463236,11.885164846278395,11.900160440526685,11.922488524680043,11.921240090025675,11.950748754819164,11.957713236068134,11.96900049600533,12.0137499332929,11.99876985786668,11.996742562307272,12.008230787398498,12.034585630205259,12.048493536587312,12.039452104540223,12.039097791352177,12.03420261751872,12.054981017736756,12.059962843381784,12.057415822720438,12.064890285068328,12.060905629900846,12.068727236627709,12.0734494184023,12.087175826215427,12.087040574699891,12.092797153449153,12.101647895498687,12.099965627077738,12.10501635457829,12.116537228167937,12.11135523075333,12.13247496329927,12.143480112656995,12.140633008002496,12.142071804158105,12.157500434782804,12.15851301954169,12.158103609678534,12.174721410520961,12.170595557069703
Dish 2,11.166817986472969,11.113255890588622,11.125920898024123,11.147730588804084,11.184728171027647,11.140669159609786,11.137205567519555,11.152487744462874,11.158166015277928,11.190022496371766,11.18734098957758,11.192675653455762,11.202058999775003,11.20799832931371,11.233954565823463,11.250505580983058,11.263547167932423,11.253450693650217,11.269074447309098,11.275009004286503,11.283140686886371,11.293375933288955,11.332802067106737,11.33716967569625,11.345926334003584,11.378982079629862,11.387831516689294,11.415543315587362,11.430130548787199,11.465879663361216,11.446271443859882,11.489450844264585,11.491954712304338,11.533666034156148,11.570820676157329,11.613367134302951,11.645009450552791,11.699543706363707,11.74483500166401,11.79715581312414,11.865869287622985,11.926807242343328,11.964938772301984,12.001828908009673,12.023867221223544,12.071777476913294,12.093740198693247,12.130507515454815,12.154574673067946,12.183072416252367,12.19462843982193,12.224497079569021,12.254524385850981,12.264491610639888,12.294247039487178,12.298706280748299,12.323684691054268,12.337194667718293,12.350644593594142,12.408281334990162,12.382345688133931,12.389425379960247,12.405952046257267,12.427652957076564,12.449238574593851,12.443355299627571,12.445953715079487,12.44542641250393,12.467154973455765,12.468380011907643,12.470825357992243,12.470499936854374,12.47226344534172,12.476182713151127,12.478639450138347,12.497086615114215,12.498608416194337,12.511416858370744,12.512674565595022,12.520153584797875,12.530847785727165,12.54130831966439,12.527762180791612,12.558502497906327,12.571626115409044,12.572872000913621,12.568567522223399,12.595758152019233,12.5913041330877,12.590997446284797,12.605314159063223,12.599806530933423
Dish 3,10.926394160829542,10.871593017842383,10.85795779591666,10.86547285433762,10.895919493652098,10.858629845201925,10.857600131892985,10.87452161915035,10.88150021416975,10.900605700098783,10.897511519218417,10.915965286882903,10.89936624982495,10.922199159272628,10.938927219097074,10.954714783039323,10.969359353139257,10.942268714275846,10.975476700835769,10.9883096929275,11.010816239779164,11.012681233266946,11.048916372016814,11.064008728658154,11.071839816538633,11.096920986556253,11.106469089217896,11.134162938125602,11.156621519244805,11.174561733581095,11.174792370986147,11.22698833343351,11.230825303580293,11.258920481138675,11.307753104983243,11.329908096083667,11.338586006056465,11.39318619521809,11.41025960084379,11.439937365426593,11.483520095090412,11.531037970682139,11.560854059184095,11.599844229783015,11.635483822043195,11.69561201944075,11.737555358032326,11.7698862630599,11.820384016307163,11.861424605399522,11.887918155714104,11.935657312152435,11.9727309048489,11.99579870006892,12.029599239556532,12.050738765281613,12.083049321192162,12.098278287158166,12.121079950532465,12.176048238438783,12.170504362400171,12.177641383398639,12.19165522548197,12.228394474159966,12.248515524242775,12.252955650031794,12.271577506735024,12.276375005735547,12.305977780470364,12.312030635266243,12.324908570530557,12.340926945669352,12.347967757022944,12.364285538611975,12.373684053882172,12.396395734337355,12.395870022920995,12.418563848148233,12.421121297998582,12.427348540558786,12.444357835085642,12.452577444593611,12.466138327764567,12.481473955588456,12.497037655823506,12.500577897069837,12.500855763710538,12.524044606744054,12.526787184930729,12.525550387472725,12.545224603135937,12.539872646576239
Dish 4,10.706936074930269,10.684267565913993,10.66522682789026,10.67327305319006,10.6968175541771,10.66871374826191,10.6609463390906,10.681824107234458,10.6839111373637,10.703785258745656,10.697530897798261,10.714307241146972,10.698646947971405,10.720327413412642,10.74228076912145,10.74704338313499,10.759521749485033,10.735418112492162,10.772110506854686,10.778437828901563,10.795703132140286,10.79795053196305,10.825554757035759,10.835801576590264,10.838231902289833,10.871849225702684,10.876519977677436,10.902737885339647,10.932208929261593,10.948851522529857,10.947047085937847,10.998170253646178,11.008323955473257,11.040581666550418,11.083066888297562,11.108554614254949,11.13083424243399,11.179543761287176,11.206113817454968,11.231460622700919,11.274326963017582,11.319018586265297,11.350755603577927,11.38964885842326,11.421161385777893,11.481735631959504,11.515067687474403,11.542780697332523,11.601319045726532,11.635991163440954,11.665881773060914,11.710061104191086,11.749570260975363,11.770349230592347,11.799261637814162,11.824264845837794,11.847063675065806,11.867709427241486,11.884320604184975,11.939159400065842,11.933187839269573,11.942557831305827,11.959729381368172,11.98713472143737,11.99912912764109,12.012045494893531,12.025866840571343,12.030915559765507,12.059195253640484,12.060558657162096,12.082756381651155,12.093543542459917,12.095617240786641,12.109410939538622,12.119099382325874,12.136003055295188,12.13411131858854,12.160342101875818,12.161237725840332,12.169352649495439,12.187634126648266,12.191882278698747,12.197931499278083,12.207208582646741,12.22322548224116,12.228668069948949,12.234061779537614,12.248737374746126,12.251502815931056,12.25477928879007,12.265874410094337,12.260246567827615
Dish 5,11.146183290742504,11.082787173780087,11.070565630230956,11.079757673283893,11.103620060215757,11.06194602735168,11.05391571432287,11.071431414225472,11.077831511618971,11.100537508928973,11.10089569656296,11.104475213390167,11.113528907801475,11.10706663204149,11.135118842706706,11.13629890495691,11.142343618439865,11.138216679391565,11.150933496993732,11.154694361666508,11.158537801808851,11.161320063084347,11.196179764132868,11.209866177704724,11.20611593742304,11.236369238727328,11.24455664820549,11.269503407732602,11.282621687710831,11.315523322345419,11.289895014134746,11.337096295762901,11.343882397896726,11.374398078037792,11.412788348835091,11.441791459899344,11.469728895247439,11.519899953797259,11.55806026263297,11.608222859688048,11.667218700662009,11.724758822249667,11.765418133194038,11.792536162234855,11.812477565783356,11.855000638174648,11.87839894674214,11.90523356119582,11.935711235478017,11.96080639764532,11.974662507235875,12.004073224341754,12.038221472533236,12.043365731417017,12.070439242675791,12.073249029187489,12.09883578879092,12.106408018053815,12.11726107132641,12.169592507602443,12.154978517905315,12.15428004720904,12.166954449494524,12.189493602099672,12.202485327902771,12.20564959128866,12.198783066492084,12.19936744014615,12.222633365201384,12.224599605126738,12.222746753561967,12.230366279880217,12.226978768746358,12.235213560440252,12.237091768037011,12.249742218418678,12.242523180830663,12.257172988864664,12.259957003033218,12.263290016062212,12.274452135671808,12.278969167297612,12.265420925827307,12.289321450900324,12.301540194314311,12.297563121202096,12.297559442023287,12.308792875195183,12.314678887191896,12.317299783973478,12.326372373023021,12.317903505902223
Dish 6,10.708450738396253,10.755437927406707,10.74388827288781,10.747067710704124,10.773329228446825,10.733610174608309,10.726680920495063,10.742614693897254,10.746070278177903,10.76041422002586,10.752522313158579,10.76062515069019,10.775704739314884,10.762198338553894,10.786874390494468,10.791224475138662,10.796628520506188,10.791244487193884,10.801781557793422,10.801625649355023,10.812560390150688,10.812582837278105,10.842442280909557,10.844188916000235,10.838915451538355,10.863273938289938,10.863685081995177,10.88082153573417,10.894502194384481,10.907900022380629,10.89348734930401,10.937994152805151,10.942076226451313,10.958284662501232,10.991804177401924,11.009404712910948,11.017303356869125,11.053789699818028,11.063877988608736,11.089817153140181,11.11330418039885,11.151380933233156,11.176182505217849,11.203167647144015,11.223283348703768,11.26636108646038,11.294729036771512,11.323027233938829,11.375178491215738,11.406803641346373,11.441257837731309,11.477531590830415,11.525283500422153,11.5512637845477,11.592788318041602,11.613997551873739,11.652438925296668,11.670496177848294,11.689741274423165,11.743860916383676,11.741237624685015,11.755892257459397,11.776980524860667,11.806362584699958,11.819151998756793,11.82697898374149,11.832070996930797,11.836332325453924,11.863770184880408,11.870882429601346,11.884463885324413,11.893221581782758,11.898206353551819,11.901725077537295,11.914463156803933,11.934738585394603,11.931806768868237,11.952799586709206,11.956006713719468,11.963359216187637,11.97248468958984,11.979993803642117,11.982133895430481,11.99782180198131,12.01251705659294,12.012340133072442,12.02295566000503,12.025422681524807,12.033155749048268,12.040398267315814,12.04661715504972,12.039383367750066
