ecology,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
mutualism,0.8320746945837244,0.8005886998181727,0.007612368600368839,26.426819313775777,1.946940843687164e-6,3,71.41228299165638,-132.82456598331277,-127.8459046155428,9.271704913261031e-4,16,20
competition,0.17876240893536605,0.014514890722439389,0.008238128787234261,1.0883720550567006,0.38422951996487864,3,66.46652020648882,-122.93304041297765,-118.21084551714544,0.0010180014887258674,15,19
