,1,2,3,4,5,6,7,8,9,10,11,12
a,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
b,blank,SWT_gal,SWT_gal,SWT_gal,SpanC_gal,SpanC_gal,SpanC_gal,SilvA_gal,SilvA_gal,SilvA_gal,blank_gal,blank
c,blank,SWT_Espent,SWT_Espent,SWT_Espent,SpanC_Espent,SpanC_Espent,SpanC_Espent,SilvA_Espent,SilvA_Espent,SilvA_Espent,blank_Espent,blank
d,blank,SWT_Mspent,SWT_Mspent,SWT_Mspent,SpanC_Mspent,SpanC_Mspent,SpanC_Mspent,SilvA_Mspent,SilvA_Mspent,SilvA_Mspent,blank_Mspent,blank
e,blank,SWT_galile,SWT_galile,SWT_galile,SpanC_galile,SpanC_galile,SpanC_galile,SilvA_galile,SilvA_galile,SilvA_galile,blank_galile,blank
f,blank,SWT_galB5,SWT_galB5,SWT_galB5,SpanC_galB5,SpanC_galB5,SpanC_galB5,SilvA_galB5,SilvA_galB5,SilvA_galB5,blank_galB5,blank
g,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
h,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
