,1,2,3,4,5,6,7,8,9,10,11,12
a,na,na,na,na,na,na,na,na,na,na,na,
b,na,gal_S,gal_pdxB,Espent_S,Espent_pdxB,Mspent_S,Mspent_pdxB,lacmetgal_S,succmetgal_S,gal_blank,na,
c,na,gal_S,gal_pdxB,Espent_S,Espent_pdxB,Mspent_S,Mspent_pdxB,lacmetgal_thiE,succmetgal_thiE,Espent_blank,na,
d,na,gal_S,gal_pdxB,Espent_S,Espent_pdxB,Mspent_S,Mspent_pdxB,lacmetgal_pdxB,succmetgal_pdxB,Mspent_blank,na,
e,na,gal_thiE,gal_nadC,Espent_thiE,Espent_nadC,Mspent_thiE,Mspent_nadC,lacmetgal_nadC,succmetgal_nadC,lacmetgal_blank,na,
f,na,gal_thiE,gal_nadC,Espent_thiE,Espent_nadC,Mspent_thiE,Mspent_nadC,na,na,succmetgal_blank,na,
g,na,gal_thiE,gal_nadC,Espent_thiE,Espent_nadC,Mspent_thiE,Mspent_nadC,na,na,na,na,
h,na,na,na,na,na,na,na,na,na,na,na,
