community,locusId,gene_name,fitness_mean,fitness_sd,Estimate,padj,direction
S,STM0116,ilvI,0.14735152195895845,0.04752346369835056,0.1473515219589584,0.020493217349314,Positive
S,STM0141,guaC,0.32894296770132414,0.1259736540997393,0.3289429677013241,0.01975163727622429,Positive
S,STM0166,speE,0.4536469002402589,0.14465113674007105,0.4536469002402586,0.00534237988953024,Positive
S,STM0174,stiH,0.1412975807368441,0.052862831485130164,0.14129758073684406,0.02714986897566778,Positive
S,STM0234,ldcC,0.13723511281277728,0.04463115353593651,0.13723511281277723,0.0203058586105978,Positive
S,STM0258,yafD,0.49145188164437803,0.04696517519166701,0.49145188164437814,1.2699870764634427e-5,Positive
S,STM0262,yafS,0.29614407293240974,0.09923083800618618,0.2961440729324097,0.01102167462805216,Positive
S,STM0269,NA,0.23291694050424552,0.025118732051051546,0.23291694050424547,0.0024661293901339,Positive
S,STM0289,NA,0.14073191695474357,0.048829707375259,0.1407319169547436,0.02623112606045271,Positive
S,STM0367,prpR,0.17954533732403963,0.09344451610928718,0.17954533732403968,0.01610176640395959,Positive
S,STM0404,queA,0.39000105054989265,0.09310633418286887,0.3900010505498928,7.427238181040727e-4,Positive
S,STM0434,panE,0.4563773536357604,0.097214033209362,0.4563773536357603,0.00326232739351688,Positive
S,STM0475,acrB,0.25785158542550907,0.05737252586781206,0.257851585425509,1.081543318322266e-4,Positive
S,STM0476,acrA,0.2064331891365002,0.056144371926881556,0.20643318913650036,0.02226559905214336,Positive
S,STM0487,htpG,0.15856202809959064,0.033178462094684905,0.1585620280995905,0.00415869464695382,Positive
S,STM0505,ybbO,0.4032864259574363,0.1019194897565373,0.40328642595743625,0.00348963932727347,Positive
S,STM0685,nagE,0.20436353104703583,0.04263870452214945,0.20436353104703583,0.00297829434791578,Positive
S,STM0798,uvrB,0.45555307857351224,0.07040256942371703,0.4555530785735123,8.020261611491788e-7,Positive
S,STM0848,gsiA,0.5004432768062002,0.05849359686903577,0.5004432768062002,4.100015109550247e-7,Positive
SE,STM0848,gsiA,0.11832531919008334,0.053620345522775455,-0.3821179576161169,0.00325748895622679,Positive
S,STM0850,gsiC,0.5368958746271183,0.11158381549916677,0.5368958746271182,0.01442644718761981,Positive
S,STM0851,gsiD,0.5066389643407359,0.1450491146606206,0.5066389643407361,0.00468089927700626,Positive
S,STM0862,yliJ,0.39368363517732496,0.06309429871317672,0.393683635177325,0.02814164206179352,Positive
S,STM0875,rimK,0.4192624330217514,0.1313734832071823,0.4192624330217513,0.006173052106966,Positive
S,STM0945,clpA,0.47964471227885974,0.0601986825355311,0.4796447122788596,2.585629748196845e-4,Positive
S,STM0986,ycaQ,0.14986215223985355,0.04962127617720957,0.14986215223985347,0.03072764901696625,Positive
S,STM1151,mdoH,0.20135361656695477,0.044275113249571486,0.2013536165669548,0.01597851145710581,Positive
S,STM1173,flgA,0.6787900066304131,0.11400370633950549,0.6787900066304132,3.0845378572240275e-5,Positive
S,STM1174,flgB,0.8819173719065893,0.07700660685772619,0.8819173719065886,2.9103315533634184e-7,Positive
S,STM1175,flgC,0.6352029931155236,0.1810771453960991,0.6352029931155233,0.00845109733632007,Positive
S,STM1176,flgD,0.48712695706203624,0.08345879940291365,0.48712695706203574,0.00127699876182768,Positive
S,STM1177,flgE,0.7823710971223755,0.0278313720276083,0.7823710971223751,1.173941247459132e-9,Positive
SE,STM1177,flgE,1.081388853882688,0.0492489833929554,0.2990177567603126,0.0224202475458235,Positive
S,STM1178,flgF,0.793858389987187,0.11294499547356238,0.7938583899871868,1.233795155150461e-4,Positive
S,STM1179,flgG,0.6906956243997264,0.10596742854250318,0.6906956243997261,1.0756823050063586e-5,Positive
S,STM1180,flgH,0.4196753623068466,0.1994265654827334,0.41967536230684654,0.00971078311034925,Positive
S,STM1181,flgI,0.6649808322020624,0.10749116559382667,0.6649808322020622,5.802272757098113e-5,Positive
S,STM1182,flgJ,0.7324559016690352,0.06432048025963948,0.732455901669035,1.1881565094691609e-8,Positive
S,STM1199,yceG,0.15285097712968343,0.0450771029582305,0.15285097712968335,0.01344885030412584,Positive
S,STM1230,phoQ,0.443841878019321,0.0636411732008752,0.4438418780193209,2.1718797563891976e-5,Positive
S,STM1349,pps,0.42338733382446947,0.10272351437648462,0.4233873338244693,0.00289355216323316,Positive
S,STM1467,manA,0.8691150862306503,0.2755753764235592,0.8691150862306503,0.00461113429241959,Positive
S,STM1477,ydgI,0.21550126035737743,0.08389250264829398,0.21550126035737735,0.04153855962900449,Positive
S,STM1479,pntA,0.5554864764626205,0.03548411972144276,0.5554864764626203,2.2365667687820275e-5,Positive
S,STM1480,pntB,0.5109576824195603,0.07663024912543029,0.5109576824195602,3.3877717190722176e-5,Positive
S,STM1564,bdm,0.5026233331536921,0.1949112173930168,0.5026233331536922,0.02120792812732688,Positive
S,STM1594,srfB,0.2890354428475265,0.03238629768670082,0.28903544284752636,1.4826897420664424e-6,Positive
