Plate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Dish 1,56.92729984333171,57.183975665840244,57.15690936390875,57.16564693665161,57.31608221376568,57.15929928588929,57.218886059219265,57.1808102695279,57.24933803712836,57.26828096446529,57.30646745592721,57.2809672749832,57.29574343263151,57.416055465520614,57.43015392603548,57.37322511907465,57.43205383814839,57.447362151008456,57.513390418733664,57.55446751886426,57.59962653605731,57.644758580230125,57.7736913027744,57.69629727864703,57.7886259269166,57.77988554448413,57.85473960920589,57.87536441674215,57.943115586134965,58.06004868630153,58.0406269878554,58.13152831380412,58.1824522521348,58.20145305907766,58.31288141536428,58.373545423689954,58.48390890761516,58.61856946339424,58.72765847211327,58.87533856759776,59.040601138711004,59.12517279591089,59.2095342883281,59.2621788805747,59.36030448044344,59.38998660339995,59.528593649202385,59.546443607281816,59.570839018271975,59.64099022452792,59.68136939775989,59.75751985326677,59.88574453402984,59.827445160478234,59.89738170644812,59.95991584417686,59.98206013185312,60.01425861282252,60.040896718057766,60.16100532941925,60.06404743655159,60.1087838764276,60.12644670917914,60.14852187849104,60.16527156211999,60.199463236897294,60.18259442242896,60.2042751113199,60.24773763792766,60.22627610482615,60.21817239805884,60.17663057526709,60.259555754356704,60.29985962790719,60.23930913104167,60.25104464259624,60.263687121956266,60.321681925154365,60.33960268741192,60.31708021551443,60.3382933720546,60.36412453443443,60.36756078482498,60.35702838236055,60.41078954525736,60.4470249882555,60.41326937730535,60.40400583066788,60.4598259341094,60.51171977729276,60.50161669540043,60.51387368534623
Dish 2,55.23553746834493,55.52041545142837,55.52086033351806,55.568319758725984,55.71406721583295,55.56196611389423,55.615022442811124,55.571782773900544,55.655717562796816,55.639263549033075,55.677734258570325,55.660720554435684,55.69480536684558,55.8012850800015,55.79343120003356,55.76011140818981,55.812190210827744,55.834860430663525,55.892108917733246,55.91149219855651,55.95107345742931,55.96716372764826,56.09727186821775,56.00230996469645,56.090333694685036,56.099143574379205,56.16296097180794,56.18307946720126,56.26316045119655,56.35256188055965,56.35364538371356,56.423364920329675,56.48793795495541,56.516923182220616,56.61500809177598,56.67135963914874,56.767695378304325,56.93047806609866,57.02487365569438,57.17940008257365,57.32449180776678,57.423686162731904,57.49906939056673,57.57349441082377,57.66712056415023,57.696183618182985,57.82944953844863,57.83665210220587,57.857335255636094,57.90682369642924,57.95693640725147,57.99905669542025,58.14424667000788,58.06164873523223,58.14111317667891,58.197522128192276,58.26330948117696,58.28157117340687,58.299753382980555,58.434927438958425,58.34984070350982,58.407171433050216,58.41643337035165,58.458457065014606,58.48135414159835,58.52452426318474,58.50323450253793,58.51968796433878,58.58716211591662,58.558563262674724,58.53292569033999,58.51645842946687,58.569683107065345,58.60556124690625,58.561186190330055,58.56646019574812,58.579127192120616,58.63401658979664,58.65242289630383,58.644791457380734,58.66317402948365,58.691374917481546,58.71852597206185,58.684299857152006,58.743105431535625,58.78152204870962,58.754334012615665,58.751306496161654,58.79772215954377,58.8420260129071,58.846697274848815,58.858783054297696
Dish 3,56.182619478738,56.44415912208505,56.41432208504801,56.42752043895747,56.58068367626886,56.41037421124828,56.50174705075446,56.44732016460905,56.49994897119342,56.52736296296296,56.55534924554184,56.53517256515775,56.603868861454046,56.65285157750343,56.659860082304526,56.626937722908096,56.68477091906721,56.74274458161866,56.75732894375857,56.794577229080936,56.82570754458162,56.86760438957476,56.97441316872428,56.89342331961591,56.97100960219479,56.96403731138546,57.049699314128944,57.072177777777775,57.1144,57.25745130315501,57.25048888888889,57.3143829903978,57.38779533607682,57.421027709190675,57.49521755829904,57.53808998628258,57.64517914951989,57.75230288065843,57.80322633744856,57.93133936899863,58.030644170096025,58.09260192043896,58.17364938271605,58.22959286694101,58.37159451303155,58.398356652949246,58.554578875171465,58.63527846364883,58.65877585733882,58.77024252400549,58.83328230452675,58.92633799725652,59.08410589849108,59.033918244170096,59.12147818930041,59.21287956104253,59.23685706447188,59.29653497942387,59.35034567901234,59.48414156378601,59.395377229080935,59.48270342935528,59.501012345679015,59.54527462277092,59.58324170096022,59.659985185185185,59.616207956104255,59.672994238683124,59.76419643347051,59.744949794238686,59.736149794238685,59.71975802469136,59.82005157750343,59.876414814814815,59.838691906721536,59.84288449931413,59.88081755829904,59.9279341563786,59.984470233196156,59.96420192043896,59.99603950617284,60.059846913580245,60.045031550068586,60.03442962962963,60.09745404663923,60.13574759945131,60.09957366255144,60.091860631001374,60.158536076817555,60.179454595336075,60.19669355281207,60.19960877914952
Dish 4,56.42154178690258,56.7296899734837,56.71609843926973,56.720998765810975,56.872415985728445,56.70210397214574,56.79564015552106,56.72618666501814,56.795832790569825,56.81247667956788,56.844430363257814,56.825138156311475,56.88841849384782,56.94062479991345,56.93863883743368,56.90785200329412,56.95531639616805,57.019538934358366,57.02314987558756,57.065960117369386,57.09577880859914,57.11935755935257,57.2238816679877,57.149829774644594,57.228246590525224,57.21772341801916,57.30113660198398,57.33376423236313,57.36786339580817,57.50802167668663,57.51114523468358,57.57972883167119,57.67100472701019,57.69407622386732,57.785702063678855,57.849808689662176,57.9560344998885,58.07374941767915,58.118504776686855,58.25516030106264,58.35884542610431,58.424206111774694,58.52156629405492,58.57818002380064,58.71328563638009,58.74812277420964,58.91078458213097,58.99626155534311,59.01538817342232,59.12417453949736,59.18509578764001,59.27296055231615,59.42858980105049,59.38340446295115,59.47356594521437,59.55563951524411,59.58889362350391,59.63788584965855,59.6899756915543,59.82672063391834,59.742938186779824,59.819256439751044,59.83849069059389,59.87401998988804,59.92707355899048,59.99349125359604,59.95882908800276,60.00648832377701,60.102724709612325,60.093453388941754,60.06183309083764,60.05309717417079,60.164474454053504,60.20807179491708,60.179592717622405,60.17996860435079,60.22411846006769,60.26054193924434,60.31396532348337,60.28368684716589,60.31475739023114,60.3756085390867,60.37155547558226,60.358065502540136,60.41624956670913,60.44602741268499,60.413247440548076,60.40845198695601,60.46274084900724,60.479969818669154,60.50482029192214,60.495561114435155
Dish 5,56.947549726336796,57.1039544829322,57.047508549905174,57.05686100912064,57.192759792373636,57.03672485091482,57.09523678104074,57.04084304604033,57.11669157859179,57.10932728970766,57.14142889945223,57.12419992979032,57.14048890664983,57.251711084960334,57.222164511435565,57.18705635982682,57.22726244069159,57.23918594305068,57.28950398406814,57.31546224684222,57.350887777112966,57.36854010231184,57.50005850806639,57.41088393545125,57.50118396039998,57.506693653972256,57.55979524384617,57.58545544665941,57.65467656078547,57.734503089888264,57.740495750989666,57.80514219667983,57.86946188033886,57.87652866122505,57.975287517469624,58.03960223346264,58.12653086907661,58.27400872984507,58.36067021542008,58.50377763402211,58.6310536530008,58.724348628593,58.80897281913942,58.87747582954503,58.96119535291403,58.98650505929185,59.11654310057426,59.12556934972148,59.150336476578005,59.202156960583224,59.25266156505766,59.29000571833554,59.437181103440054,59.3614247486913,59.43879780274612,59.49257554716081,59.547734302727356,59.55791581020425,59.57452934124333,59.70354183547532,59.616939961892484,59.66176155644704,59.66862079928642,59.69545171539027,59.73431818231997,59.7532709320887,59.744948435626775,59.759770295123516,59.819494335756815,59.797394293586855,59.77141505622294,59.75738747132553,59.8232907365172,59.853689540744796,59.814534949186296,59.817905234595266,59.836802236112064,59.881501846867835,59.89439183624807,59.86370049168854,59.88484508609517,59.90941074649669,59.934113845657926,59.89906475407845,59.947716971092596,59.986141867709954,59.95149846885494,59.94985527533013,59.983634852261616,60.017872006429265,60.025311914229384,60.03142711109247
Dish 6,56.1733248963648,56.712375770620746,56.699194944905045,56.70029053287982,56.829810179280045,56.686305870004254,56.73976436277636,56.68632247821004,56.7485761231576,56.75537109375,56.78608354148951,56.75331444426729,56.74544492276077,56.86124397675737,56.85055604272959,56.784789762259074,56.82435438368056,56.829707208404194,56.87343218537415,56.90549875549178,56.932829218927154,56.945429311047334,57.04940885859552,56.952467315051024,57.022882232320015,56.992059616815474,57.04925384867489,57.060173190369895,57.10644697332058,57.20387181565334,57.18153267166242,57.248754384566325,57.29644484747024,57.27748768778345,57.363302287060655,57.39830020549886,57.46204416011196,57.54429242400085,57.58032614087302,57.666748046875,57.76353291967829,57.79170597275368,57.85917791595805,57.89869215915533,58.00099206349206,58.031724994685376,58.17378494366496,58.203438341482425,58.231081592793366,58.32286739565618,58.37786989795919,58.482259114583336,58.64222769185799,58.621550475659014,58.71404766333617,58.79988772852891,58.85431115805697,58.89836220946712,58.94593807575114,59.07698733790391,59.01158588435374,59.06531730530754,59.09466843377976,59.12890126753827,59.17667034261621,59.21241120145975,59.22533459998583,59.25717474489796,59.31780908978175,59.315258622980444,59.298505925807824,59.27246536635487,59.377954599808675,59.42291578089569,59.376245061826815,59.38714059842687,59.41751036352041,59.466188461061506,59.49424802473072,59.46908382493623,59.49852408411281,59.53250834839144,59.543816322101755,59.530249078798185,59.58140013818027,59.61445932539682,59.58069705746882,59.57530271223072,59.61991899624433,59.661061397215136,59.66323098249717,59.66384936135913
