,1,2,3,4,5,6,7,8,9,10,11,12
a,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
b,blank,gal_mid_ilvA,gal_mid_ilvA,gal_mid_ilvA,gal_stat_ilvA,gal_stat_ilvA,gal_stat_ilvA,gal_fresh_ilvA,gal_fresh_ilvA,gal_fresh_ilvA,gal_hypho,blank
c,blank,succ_mid_ilvA,succ_mid_ilvA,succ_mid_ilvA,succ_stat_ilvA,succ_stat_ilvA,succ_stat_ilvA,gal_fresh_ilvA,gal_fresh_ilvA,gal_fresh_ilvA,gal_hypho,blank
d,blank,gal_mid_panC,gal_mid_panC,gal_mid_panC,gal_stat_panC,gal_stat_panC,gal_stat_panC,gal_fresh_panC,gal_fresh_panC,gal_fresh_panC,gal_hypho,blank
e,blank,succ_mid_panC,succ_mid_panC,succ_mid_panC,succ_stat_panC,succ_stat_panC,succ_stat_panC,gal_fresh_panC,gal_fresh_panC,gal_fresh_panC,gal_hypho,blank
f,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
g,,,,,,,,,,,,
h,,,,,,,,,,,,
