,1,2,3,4,5,6,7,8,9,10,11,12
a,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
b,blank,ilvA_gal_2,ilvA_gal_1,ilvA_gal_1e-1,ilvA_gal_1e-2,ilvA_gal_1e-3,ilvA_gal_1e-4,ilvA_gal_1e-5,ilvA_gal_1e-6,ilvA_gal_1e-7,ilvA_gal_0,gal_blank
c,blank,ilvA_gal_2,ilvA_gal_1,ilvA_gal_1e-1,ilvA_gal_1e-2,ilvA_gal_1e-3,ilvA_gal_1e-4,ilvA_gal_1e-5,ilvA_gal_1e-6,ilvA_gal_1e-7,ilvA_gal_0,gal_blank
d,blank,ilvA_gal_2,ilvA_gal_1,ilvA_gal_1e-1,ilvA_gal_1e-2,ilvA_gal_1e-3,ilvA_gal_1e-4,ilvA_gal_1e-5,ilvA_gal_1e-6,ilvA_gal_1e-7,ilvA_gal_0,gal_blank
e,blank,ilvA_succ_2,ilvA_succ_1,ilvA_succ_1e-1,ilvA_succ_1e-2,ilvA_succ_1e-3,ilvA_succ_1e-4,ilvA_succ_1e-5,ilvA_succ_1e-6,ilvA_succ_1e-7,ilvA_succ_0,succ_blank
f,blank,ilvA_succ_2,ilvA_succ_1,ilvA_succ_1e-1,ilvA_succ_1e-2,ilvA_succ_1e-3,ilvA_succ_1e-4,ilvA_succ_1e-5,ilvA_succ_1e-6,ilvA_succ_1e-7,ilvA_succ_0,succ_blank
g,blank,ilvA_succ_2,ilvA_succ_1,ilvA_succ_1e-1,ilvA_succ_1e-2,ilvA_succ_1e-3,ilvA_succ_1e-4,ilvA_succ_1e-5,ilvA_succ_1e-6,ilvA_succ_1e-7,ilvA_succ_0,succ_blank
h,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
