Estimate,SE,t,p,term,gene,padj
-0.817233585042933,0.0631832389304812,-12.93434143099427,1.5412644911029354e-9,(Intercept),STM0002,3.747595166722891e-8
-0.8855712902396029,0.08935459341014623,-9.910752838130492,5.6217144290871524e-8,ETRUE,STM0002,1.8142805657508538e-5
-0.1177345105612169,0.08935459341014622,-1.3176100530255241,0.2074053275638214,MTRUE,STM0002,0.9995378376942675
0.010883968246282348,0.13025558393950587,0.08355855401436878,0.9345123593659601,ETRUE:MTRUE,STM0002,0.9966952742111523
-2.704408675583544,0.2457806323635803,-11.003343304866045,1.4005188628696544e-8,(Intercept),STM0003,2.941918321412588e-7
-2.7046169521990606,0.34758630365721094,-7.781137874944433,1.209706401749176e-6,ETRUE,STM0003,2.1472288631047874e-4
-0.016644227672468204,0.3475863036572108,-0.04788516548938223,0.9624395189044054,MTRUE,STM0003,0.9995378376942675
0.12052236698419924,0.5066897539830719,0.2378622540455511,0.8152064541169285,ETRUE:MTRUE,STM0003,0.9966952742111523
-5.255384908920951,0.24055731580537476,-21.846705810322856,8.743471915250605e-13,(Intercept),STM0004,4.138576706551953e-11
-1.1600060296527577,0.3401994185400287,-3.4097825170629106,0.003879129412405419,ETRUE,STM0004,0.13041101245901007
-0.2662119773117599,0.3401994185400286,-0.7825174377258285,0.44608889084272974,MTRUE,STM0004,0.9995378376942675
0.46093695557401215,0.4959216110403123,0.9294552713826857,0.36737026125841354,ETRUE:MTRUE,STM0004,0.993634081413157
-0.26638140025712037,0.11055947132854964,-2.409394663850324,0.029282017380937157,(Intercept),STM0005,0.1462041655447636
0.11073817892110568,0.15635470380163427,0.7082497438746592,0.48965081935833177,ETRUE,STM0005,0.9547079112792247
-0.0038255202893517954,0.15635470380163421,-0.024466934453121397,0.9808026848029301,MTRUE,STM0005,0.9995378376942675
0.14758922014881573,0.22792418910002868,0.6475364494289964,0.5270719238271603,ETRUE:MTRUE,STM0005,0.9966952742111523
0.003131128583659293,0.09542782310650663,0.03281148497084181,0.9742575471381423,(Intercept),STM0006,0.9918970842152725
0.030061478141007788,0.1349553216649623,0.22275133555413165,0.8267338171001523,ETRUE,STM0006,0.985838503640415
0.13891974768096485,0.13495532166496227,1.0293758405900035,0.3196166719117246,MTRUE,STM0006,0.9995378376942675
0.0034166268853380857,0.1967294971454422,0.017367130678996104,0.9863726334076388,ETRUE:MTRUE,STM0006,0.9973978560347035
-0.3118756984817244,0.07237649959216896,-4.309074081215568,6.203784476003598e-4,(Intercept),STM0007,0.005647034587131479
0.07997773920133441,0.10235582732033613,0.7813696718119768,0.4467431469414477,ETRUE,STM0007,0.9464608130278925
0.006919599431192361,0.1023558273203361,0.06760337552190906,0.9469942694001756,MTRUE,STM0007,0.9995378376942675
-0.07443490768204299,0.14920797631549304,-0.49886681342459854,0.625109421089417,ETRUE:MTRUE,STM0007,0.9966952742111523
-0.213661781483294,0.08587646443423042,-2.4880132512550004,0.025092174497640913,(Intercept),STM0009,0.13061175874871736
-4.2530562581182425e-4,0.12144766069153941,-0.0035019663893901,0.9972519908132059,ETRUE,STM0009,0.9980954517583539
0.12593139020958743,0.12144766069153937,1.0369190274437325,0.31620137215659494,MTRUE,STM0009,0.9995378376942675
-0.1741399370392775,0.17703886680846517,-0.9836254613382497,0.3409003210855168,ETRUE:MTRUE,STM0009,0.993634081413157
-0.4888261993034504,0.1781524654156938,-2.743864353282134,0.015071054113628347,(Intercept),STM0010,0.08799710872266552
0.3570859606174776,0.25194563276107795,1.4173135557229724,0.17682750485812823,ETRUE,STM0010,0.8227229911485652
0.581693658281402,0.25194563276107784,2.3088062766026467,0.035612641134138937,MTRUE,STM0010,0.9995378376942675
-0.5464140434552094,0.3672707161865513,-1.4877691560294835,0.1575309322145919,ETRUE:MTRUE,STM0010,0.9800710057493027
-0.20161343085247674,0.13388052845464635,-1.505920488809362,0.1528541693675669,(Intercept),STM0011,0.44152343470696703
-0.125551982298023,0.18933565907823793,-0.6631185214093346,0.5173162859969205,ETRUE,STM0011,0.956496257963056
-0.2352766267870494,0.18933565907823788,-1.2426429756152149,0.2330751710528338,MTRUE,STM0011,0.9995378376942675
0.36797310010773754,0.2760017800160088,1.3332272715284452,0.2023525577347879,ETRUE:MTRUE,STM0011,0.9836880647941972
-2.433186671809034,0.6940358721231435,-3.5058514545733894,0.003185057568883392,(Intercept),STM0013,0.02400627254678565
1.55480403783533,0.9815149431299888,1.5840859568344001,0.134026457074415,ETRUE,STM0013,0.7741958052214947
0.3174627844483581,0.9815149431299885,0.3234416212105641,0.7508262112512487,MTRUE,STM0013,0.9995378376942675
-0.8439131233968112,1.430791604365696,-0.5898225295855981,0.5640895099907277,ETRUE:MTRUE,STM0013,0.9966952742111523
0.1881042182991154,0.25556060471611064,0.7360454421684862,0.473057233608722,(Intercept),STM0014,0.7587671788291593
-0.5137595294340738,0.3614172731977932,-1.4215134901781743,0.1756250227756319,ETRUE,STM0014,0.8201641670342367
-0.789476380163122,0.3614172731977931,-2.184390284332273,0.04522150090550897,MTRUE,STM0014,0.9995378376942675
1.3750058277656407,0.5268516834956234,2.6098537232387207,0.01970844780518586,ETRUE:MTRUE,STM0014,0.960011269685767
-0.2736388790444787,0.15246783008397385,-1.7947319043877528,0.09287047569752495,(Intercept),STM0016,0.32513825318167017
0.1484761879865076,0.21562207313035245,0.6885945665532471,0.5015905537792622,ETRUE,STM0016,0.9564414182077823
-0.020786754832687604,0.2156220731303524,-0.09640364982541076,0.9244762244466955,MTRUE,STM0016,0.9995378376942675
