,1,2,3,4,5,6,7,8,9,10,11,12
a,blank,blank,blank,blank,blank,blank,blank,,,,,
b,blank,aceA_ace,aceA_gal,aceA_spent,aceA_cocult,blank_ace,blank,,,,,
c,blank,aceA_ace,aceA_gal,aceA_spent,aceA_cocult,blank_gal,blank,,,,,
d,blank,aceA_ace,aceA_gal,aceA_spent,aceA_cocult,blank_spent,blank,,,,,
e,blank,WT_ace,WT_gal,WT_spent,WT_cocult,blank_cocult,blank,,,,,
f,blank,WT_ace,WT_gal,WT_spent,WT_cocult,blank,blank,,,,,
g,blank,WT_ace,WT_gal,WT_spent,WT_cocult,blank,blank,,,,,
h,blank,blank,blank,blank,blank,blank,blank,,,,,
