community,ecology,replicate,mean_fitness,IQR_fitness,median_fitness
S,Competition,so_apr_22.IT026,-0.24189316018915083,0.3954672011810602,0
S,Competition,so_apr_22.IT027,-0.23155011609784307,0.3977182787024694,0.001845256847869315
S,Competition,so_apr_22.IT028,-0.22590494223581808,0.39281107767246715,-4.171095060273994e-4
S,Competition,so_apr_22.IT029,-0.23795877313822036,0.362295513694638,6.493647120921348e-4
S,Competition,so_apr_22.IT030,-0.21594922892939286,0.34980743592688884,0
S,Mutualism,so_apr_22.IT006,-0.2021300294562839,0.33638776584951546,0
S,Mutualism,so_apr_22.IT007,-0.20280288144213382,0.3540768499038112,0
S,Mutualism,so_apr_22.IT008,-0.20766089767921567,0.3270898874932705,8.801780766577033e-5
S,Mutualism,so_apr_22.IT009,-0.19964607355452063,0.3367462618740307,0
S,Mutualism,so_apr_22.IT010,-0.21047192810132737,0.368599671117784,0.001255479299478515
SE,Competition,so_apr_22.IT031,-0.23238796188425606,0.3686391176314948,0.0016997823454233951
SE,Competition,so_apr_22.IT032,-0.2349055319691644,0.39207363598053047,0.00108614405447374
SE,Competition,so_apr_22.IT033,-0.2398311393185178,0.36081446097783587,0
SE,Competition,so_apr_22.IT034,-0.22653994972336494,0.37163324895673966,0.0012667386100882398
SE,Competition,so_apr_22.IT035,-0.23236828035899018,0.38397812340353954,-0.0011979930400340352
SE,Mutualism,so_apr_22.IT011,-0.16137102706066458,0.3205850370091825,0
SE,Mutualism,so_apr_22.IT012,-0.15635111573406302,0.31328110452342983,-0.00184722182144964
SE,Mutualism,so_apr_22.IT013,-0.17367174451346523,0.35393504805588116,0
SE,Mutualism,so_apr_22.IT014,-0.16168970989183665,0.3320770075819002,0.0015055138658313849
SE,Mutualism,so_apr_22.IT015,-0.16243382306296908,0.34863292946299845,0.001259622209719335
SM,Competition,so_apr_22.IT036,-0.2248004651690194,0.40173063550951876,-0.002739484722782775
SM,Competition,so_apr_22.IT037,-0.22698868027109714,0.3968544796633727,0
SM,Competition,so_apr_22.IT038,-0.22941648431723546,0.37860465342321414,0.001190451774828885
SM,Competition,so_apr_22.IT039,-0.2308257710988477,0.39255530343045353,0
SM,Competition,so_apr_22.IT040,-0.23325797636517248,0.41124092655664657,0
SM,Mutualism,so_apr_22.IT016,-0.16576616165987987,0.36247946368534034,0
SM,Mutualism,so_apr_22.IT017,-0.16848593909881773,0.36803270208986616,0
SM,Mutualism,so_apr_22.IT018,-0.17575773624389146,0.38311510211475164,-4.7646449785990197e-4
SM,Mutualism,so_apr_22.IT019,-0.19298905494231997,0.44466287832866014,0
SM,Mutualism,so_apr_22.IT020,-0.16987861891043204,0.39050685533053175,-8.830654144541246e-4
SEM,Competition,so_apr_22.IT042,-0.23687293392235959,0.3843111485418568,0.002030982032693745
SEM,Competition,so_apr_22.IT043,-0.25527697536786287,0.4772736431186323,0
SEM,Competition,so_apr_22.IT044,-0.23646457007930977,0.41964291694937256,5.551399174021365e-4
SEM,Competition,so_apr_22.IT045,-0.22528669726032854,0.3702107070427926,3.036279677433307e-4
SEM,Mutualism,so_apr_22.IT021,-0.17320774220920487,0.3773990061587107,0
SEM,Mutualism,so_apr_22.IT022,-0.18791221383590698,0.4025709658561436,0
SEM,Mutualism,so_apr_22.IT023,-0.1863809991503309,0.41751863725566896,1.9287221302177748e-4
SEM,Mutualism,so_apr_22.IT024,-0.17704133634005484,0.4060378180036769,0
SEM,Mutualism,so_apr_22.IT025,-0.18953797342939427,0.4208368204202503,5.685755723129622e-4
